Position,RibosomalComplex_contig_690.fa_002
1,661
2,676
3,688
4,691
5,694
6,700
7,711
8,725
9,734
10,742
11,750
12,755
13,767
14,778
15,780
16,792
17,800
18,806
19,814
20,820
21,823
22,834
23,834
24,834
25,834
26,877
27,889
28,905
29,910
30,912
31,918
32,925
33,935
34,959
35,966
36,967
37,967
38,963
39,984
40,992
41,969
42,969
43,969
44,966
45,1000
46,1007
47,1018
48,1026
49,1027
50,1036
51,1034
52,1035
53,1041
54,1048
55,1051
56,1052
57,1041
58,1041
59,1020
60,1049
61,1078
62,1087
63,1090
64,1089
65,1091
66,1099
67,1099
68,1101
69,1106
70,1109
71,1118
72,1127
73,1128
74,1128
75,1134
76,1141
77,1142
78,1153
79,1161
80,1160
81,1163
82,1157
83,1147
84,1139
85,1138
86,1126
87,1074
88,1074
89,1071
90,1140
91,1154
92,1159
93,1165
94,1165
95,1162
96,1139
97,1188
98,1191
99,1201
100,1203
101,1208
102,1212
103,1213
104,1214
105,1198
106,1205
107,1219
108,1210
109,1213
110,1209
111,1221
112,1234
113,1228
114,1214
115,1196
116,1171
117,1193
118,1200
119,1209
120,1211
121,1203
122,1193
123,1187
124,1178
125,1177
126,1163
127,1156
128,1146
129,1141
130,1130
131,1127
132,1118
133,1103
134,1096
135,1089
136,1084
137,1074
138,1067
139,785
140,785
141,785
142,784
143,783
144,782
145,780
146,751
147,750
148,750
149,750
150,750
151,740
152,740
153,740
154,740
155,740
156,740
157,740
158,740
159,740
160,740
161,740
162,1128
163,1138
164,1157
165,1167
166,1180
167,1188
168,1194
169,1208
170,1213
171,1224
172,1244
173,1256
174,1256
175,1255
176,1254
177,1292
178,1299
179,1308
180,1320
181,1329
182,1340
183,1348
184,1343
185,1328
186,1327
187,1334
188,1337
189,1343
190,1340
191,1333
192,1342
193,1357
194,1360
195,1359
196,1369
197,1366
198,1359
199,1367
200,1373
201,1365
202,1369
203,1377
204,1366
205,1369
206,1375
207,1372
208,1375
209,1376
210,1359
211,1369
212,1368
213,1361
214,1367
215,1365
216,1360
217,1350
218,1326
219,1372
220,1379
221,1387
222,1396
223,1390
224,1398
225,1400
226,1399
227,1408
228,1406
229,1392
230,1391
231,1390
232,1386
233,1384
234,1367
235,1364
236,1363
237,1315
238,1316
239,1316
240,1316
241,1314
242,1304
243,1300
244,1287
245,1276
246,1268
247,1251
248,1239
249,974
250,974
251,974
252,962
253,962
254,961
255,965
256,965
257,965
258,967
259,967
260,967
261,968
262,968
263,969
264,1042
265,1043
266,1055
267,1377
268,1383
269,1393
270,1396
271,1408
272,1411
273,1422
274,1427
275,1432
276,1442
277,1456
278,1459
279,1471
280,1477
281,1491
282,1484
283,1483
284,1484
285,1476
286,1468
287,1466
288,1463
289,1458
290,1451
291,1453
292,1450
293,1441
294,1449
295,1444
296,1452
297,1459
298,1453
299,1446
300,1438
301,1427
302,1412
303,1392
304,1321
305,1321
306,1408
307,1423
308,1429
309,1443
310,1445
311,1448
312,1437
313,1432
314,1389
315,1417
316,1430
317,1436
318,1431
319,1423
320,1421
321,1414
322,1402
323,1395
324,1393
325,1338
326,1364
327,1371
328,1379
329,1360
330,1355
331,1311
332,1347
333,1358
334,1364
