Position,liv_CL18_TR_1_x_135_0nt.fa_003
1,328
2,394
3,29763
4,30942
5,31648
6,32118
7,32719
8,33165
9,33305
10,35888
11,36546
12,37158
13,37582
14,37701
15,37773
16,37791
17,39174
18,39775
19,40310
20,40694
21,41100
22,41394
23,41727
24,41874
25,42149
26,42389
27,42842
28,43167
29,43479
30,43798
31,44083
32,44165
33,44266
34,44442
35,44407
36,44554
37,44462
38,44242
39,44171
40,43868
41,43348
42,43448
43,43434
44,43359
45,43255
46,40977
47,40963
48,41024
49,46907
50,47381
51,47519
52,47811
53,48014
54,48360
55,48360
56,48581
57,48549
58,48665
59,48794
60,48708
61,48945
62,48999
63,50924
64,51597
65,51662
66,51767
67,51749
68,51446
69,51161
70,49973
71,51302
72,51615
73,52060
74,51994
75,52136
76,52108
77,52073
78,52114
79,52048
80,51917
81,51719
82,51646
83,51626
84,51377
85,51435
86,51106
87,50751
88,50729
89,50604
90,50285
91,49744
92,48123
93,48524
94,48905
95,48896
96,48606
97,48438
98,48260
99,47956
100,47612
101,47172
102,43918
103,43557
104,43124
105,42597
106,42254
107,41878
108,41635
109,41273
110,40946
111,40515
112,40161
113,39964
114,39572
115,39178
116,37478
117,37441
118,37427
119,37376
120,36606
121,35348
122,33333
123,33328
124,33324
125,33255
126,32797
127,32319
128,30836
129,30830
130,30804
131,30757
132,30346
133,29295
134,28287
135,27036
