Position,liv_CL18_TR_1_x_135_0nt.fa_001
1,165
2,354
3,32161
4,36119
5,37164
6,37723
7,38253
8,38677
9,38830
10,38973
11,39167
12,39526
13,40017
14,40321
15,40774
16,40956
17,41210
18,41557
19,41896
20,42130
21,42333
22,42541
23,42744
24,42844
25,42998
26,43095
27,43281
28,43366
29,43435
30,43434
31,43437
32,43332
33,43077
34,42546
35,40512
36,40370
37,40240
38,37292
39,37324
40,37326
41,37321
42,37261
43,37058
44,36833
45,36677
46,31332
47,31305
48,31407
49,41437
50,42342
51,42405
52,42507
53,42563
54,42593
55,42584
56,42594
57,42504
58,42508
59,42489
60,42418
61,42319
62,42317
63,48916
64,51505
65,51800
66,52338
67,52519
68,52594
69,52510
70,51939
71,53833
72,54268
73,54848
74,54957
75,55296
76,55404
77,55733
78,55889
79,56034
80,56131
81,56148
82,56153
83,56285
84,56184
85,56316
86,56186
87,55908
88,56032
89,56161
90,56061
91,55654
92,55188
93,55174
94,54890
95,54670
96,54187
97,53881
98,53649
99,53233
100,52629
101,52144
102,42951
103,42636
104,42107
105,41732
106,41450
107,41202
108,41005
109,40647
110,40053
111,39739
112,39461
113,39283
114,38944
115,38510
116,35839
117,35642
118,35631
119,35543
120,35114
121,34213
122,33474
123,33471
124,33465
125,33427
126,32765
127,32307
128,30136
129,30123
130,30104
131,30051
132,29356
133,27116
134,25966
135,25370
