Position,liv_CL18_TR_1_x_135_0nt.fa_005
1,15636
2,16389
3,19774
4,20229
5,20559
6,20925
7,21260
8,21627
9,21810
10,21993
11,22252
12,22428
13,22944
14,23206
15,23454
16,23594
17,23867
18,24204
19,24462
20,24723
21,24945
22,25232
23,25490
24,25630
25,25883
26,26090
27,26393
28,26641
29,26830
30,27076
31,27301
32,27467
33,27680
34,27941
35,28061
36,28284
37,28502
38,28625
39,28860
40,29014
41,29113
42,29377
43,29541
44,29687
45,29729
46,29816
47,30016
48,30166
49,30415
50,30597
51,30693
52,30892
53,30955
54,31050
55,31060
56,31328
57,31454
58,31573
59,31608
60,31608
61,31704
62,31739
63,31828
64,31869
65,31885
66,31888
67,31880
68,31800
69,31709
70,31557
71,31621
72,31551
73,31540
74,31488
75,31438
76,31339
77,31155
78,31084
79,30981
80,30877
81,30751
82,30658
83,30596
84,30382
85,30363
86,30131
87,29834
88,29694
89,29273
90,29335
91,29231
92,29214
93,29142
94,28880
95,28683
96,28380
97,28283
98,28098
99,27931
100,27725
101,27473
102,27301
103,27063
104,26413
105,26226
106,26114
107,25935
108,25738
109,25462
110,25174
111,24842
112,24618
113,24430
114,24127
115,23860
116,23440
117,23177
118,22954
119,22708
120,22395
121,21945
122,21475
123,21263
124,21017
125,20754
126,20462
127,20080
128,19524
129,19354
130,19105
131,18804
132,18456
133,17897
134,17200
135,16837
