Position,RibosomalComplex_contig_690.fa_006
1,293
2,301
3,305
4,307
5,312
6,313
7,316
8,322
9,322
10,322
11,322
12,322
13,325
14,326
15,327
16,329
17,334
18,336
19,337
20,337
21,337
22,338
23,338
24,338
25,338
26,348
27,354
28,356
29,357
30,362
31,364
32,367
33,369
34,372
35,371
36,371
37,369
38,364
39,370
40,369
41,356
42,356
43,356
44,354
45,363
46,365
47,375
48,379
49,371
50,371
51,371
52,371
53,368
54,367
55,369
56,369
57,365
58,363
59,355
60,362
61,364
62,371
63,374
64,373
65,374
66,371
67,368
68,366
69,358
70,371
71,376
72,378
73,376
74,378
75,380
76,388
77,390
78,392
79,396
80,398
81,399
82,401
83,398
84,400
85,399
86,395
87,390
88,388
89,349
90,349
91,349
92,349
93,349
94,347
95,347
96,340
97,340
98,340
99,397
100,404
101,408
102,419
103,419
104,424
105,427
106,424
107,426
108,419
109,418
110,405
111,421
112,422
113,426
114,427
115,423
116,423
117,424
118,430
119,427
120,425
121,430
122,429
123,431
124,431
125,428
126,426
127,426
128,425
129,423
130,421
131,418
132,384
133,384
134,384
135,384
136,384
137,384
138,384
139,383
140,383
141,383
142,382
143,382
144,381
145,376
146,370
147,359
148,359
149,359
150,359
151,282
152,282
153,282
154,282
155,282
156,282
157,282
158,282
159,282
160,282
161,283
162,296
163,296
164,298
165,298
166,298
167,298
168,298
169,298
170,298
171,298
172,298
173,519
174,531
175,538
176,549
177,556
178,560
179,569
180,571
181,579
182,584
183,589
184,595
185,598
186,613
187,613
188,611
189,607
190,601
191,622
192,626
193,634
194,640
195,638
196,636
197,640
198,636
199,645
200,640
201,639
202,638
203,650
204,651
205,653
206,663
207,668
208,673
209,682
210,683
211,688
212,694
213,701
214,704
215,703
216,700
217,702
218,706
219,705
220,707
221,706
222,708
223,708
224,711
225,716
226,711
227,719
228,719
229,712
230,708
231,706
232,701
233,707
234,708
235,702
236,701
237,673
238,686
239,696
240,699
241,706
242,704
243,700
244,698
245,694
246,690
247,687
248,685
249,681
250,673
251,672
252,598
253,598
254,598
255,604
256,604
257,605
258,605
259,605
260,604
261,604
262,604
263,604
264,640
265,640
266,765
267,768
268,771
269,775
270,780
271,787
272,789
273,797
274,802
275,800
276,795
277,792
278,789
279,790
280,791
281,796
282,804
283,801
284,802
285,810
286,813
287,810
288,814
289,821
290,819
291,822
292,820
293,810
294,809
295,816
296,818
297,819
298,814
299,807
300,801
301,794
302,787
303,781
304,747
305,747
306,793
307,805
308,810
309,814
310,821
311,823
312,815
313,811
314,792
315,815
316,819
317,823
318,820
319,819
320,810
321,778
322,799
323,801
324,804
325,803
326,798
327,809
328,810
329,805
330,798
331,780
332,798
333,807
334,811
335,818
336,817
337,825
338,820
339,821
340,818
341,810
342,788
343,805
344,809
345,811
346,801
347,834
348,836
349,835
350,839
351,841
352,842
353,845
354,847
355,848
356,847
357,844
358,847
359,840
360,842
361,844
362,829
363,832
364,832
365,822
366,808
367,808
368,807
369,803
370,804
371,800
372,805
373,809
374,804
375,804
376,804
377,800
378,798
379,792
380,791
381,790
382,792
383,792
384,781
385,773
386,772
387,766
388,789
389,784
390,782
391,763
392,766
393,771
394,774
395,780
396,785
397,787
398,789
399,789
400,787
401,786
402,779
403,785
404,784
405,787
406,795
407,789
408,794
409,791
410,790
411,788
412,785
413,784
414,784
415,788
416,782
417,775
418,770
419,769
420,767
421,762
422,752
423,748
424,635
425,635
426,636
427,636
428,637
429,637
430,637
431,637
432,637
433,639
434,639
435,639
436,738
437,749
438,752
439,758
440,762
441,768
442,777
443,780
444,775
445,773
446,761
447,761
448,748
449,746
450,736
451,733
452,728
453,725
454,693
455,681
456,693
457,694
458,699
459,700
460,699
461,698
462,697
463,692
464,686
465,615
466,615
467,615
468,714
469,723
470,725
471,726
472,739
473,739
474,744
475,746
476,746
477,754
478,757
479,755
480,758
481,757
482,756
483,756
484,753
485,754
486,760
487,751
488,753
489,767
490,767
491,772
492,769
493,767
494,771
495,757
496,753
497,756
498,750
499,755
500,757
501,760
502,757
503,757
504,756
505,747
506,744
507,738
508,734
509,738
510,737
511,737
512,743
513,745
514,742
515,739
516,724
517,748
518,753
519,758
520,755
521,751
522,753
523,756
524,748
525,744
526,744
527,744
528,740
529,743
530,744
531,742
532,742
533,740
534,739
535,739
536,744
537,742
538,739
539,739
540,745
541,746
542,741
543,747
544,746
545,743
546,737
547,736
548,729
549,723
550,720
551,718
552,716
553,711
554,707
555,699
556,694
557,689
558,682
559,681
560,674
561,669
562,665
563,658
564,655
565,646
566,640
567,631
568,625
569,624
570,623
571,620
572,606
573,590
574,533
575,533
576,533
577,533
578,533
579,533
580,533
581,533
582,533
583,533
584,533
585,530
586,1027
587,533
588,536
589,547
590,558
591,560
592,570
593,575
594,580
595,586
596,589
597,594
598,597
599,601
600,606
601,611
602,620
603,626
604,636
605,642
606,650
607,654
608,662
609,672
610,676
611,680
612,686
613,689
614,695
615,694
616,696
617,695
618,694
619,686
620,685
621,688
622,687
623,684
624,681
625,685
626,677
627,677
628,683
629,683
630,685
631,683
632,684
633,694
634,691
635,693
636,690
637,691
638,695
639,696
640,698
641,701
642,701
643,699
644,693
645,692
646,694
647,701
648,707
649,710
650,713
651,715
652,712
653,705
654,678
655,705
656,710
657,712
658,709
659,719
660,718
661,715
662,716
663,716
664,727
665,725
666,725
667,729
668,733
669,736
670,738
671,733
672,731
673,734
674,728
675,728
676,718
677,711
678,690
679,710
680,711
681,714
682,723
683,721
684,718
685,717
686,708
687,690
688,712
689,715
690,721
691,723
692,724
693,731
694,734
695,744
696,748
697,747
698,750
699,755
700,752
701,749
702,749
703,749
704,758
705,755
706,755
707,760
708,759
709,762
710,765
711,766
712,764
713,768
714,771
715,763
716,762
717,766
718,770
719,769
720,771
721,772
722,773
723,770
724,764
725,761
726,766
727,768
728,767
729,763
730,770
731,771
732,769
733,771
734,771
735,772
736,775
737,775
738,774
739,773
740,774
741,765
742,764
743,760
744,760
745,758
746,757
747,768
748,774
749,778
750,778
751,781
752,776
753,774
754,778
755,775
756,768
757,768
758,769
759,772
760,770
761,780
762,784
763,787
764,787
765,792
766,787
767,787
768,786
769,803
770,806
771,807
772,803
773,801
774,802
775,809
776,806
777,807
778,803
779,796
780,801
781,792
782,793
783,793
784,794
785,792
786,791
787,788
788,788
789,786
790,783
791,779
792,779
793,786
794,783
795,786
796,785
797,785
798,783
799,776
800,748
801,769
802,775
803,779
804,775
805,775
806,768
807,762
808,759
809,736
810,763
811,763
812,766
813,767
814,761
815,757
816,757
817,752
818,752
819,749
820,754
821,765
822,769
823,774
824,768
825,770
826,776
827,773
828,771
829,771
830,769
831,768
832,767
833,758
834,761
835,763
836,766
837,761
838,764
839,764
840,755
841,757
842,753
843,755
844,754
845,747
846,747
847,747
848,752
849,746
850,747
851,747
852,744
853,741
854,741
855,744
856,735
857,737
858,741
859,741
860,738
861,738
862,733
863,734
864,739
865,736
866,740
867,741
868,741
869,740
870,737
871,740
872,747
873,746
874,746
875,749
876,746
877,751
878,755
879,757
880,748
881,751
882,749
883,755
884,756
885,744
886,748
887,745
888,751
889,758
890,761
891,756
892,757
893,758
894,759
895,761
896,755
897,758
898,756
899,756
900,761
