Position,amp_CL1_TR_1_x_85_0nt.fa_006
1,87
2,92
3,98
4,106
5,110
6,111
7,115
8,116
9,116
10,118
11,119
12,120
13,123
14,123
15,123
16,123
17,135
18,135
19,136
20,138
21,138
22,138
23,138
24,140
25,142
26,142
27,142
28,142
29,142
30,143
31,143
32,143
33,142
34,142
35,142
36,142
37,142
38,141
39,140
40,140
41,139
42,139
43,136
44,133
45,132
46,130
47,124
48,121
49,119
50,117
51,48
52,47
53,30
54,30
55,30
56,30
57,30
58,28
59,28
60,28
61,28
62,28
63,28
64,26
65,26
66,26
67,26
68,26
69,26
70,26
71,26
72,26
73,26
74,25
75,25
76,25
77,25
78,24
79,24
80,23
81,23
82,23
83,22
84,19
85,18
