Position,amp_CL1_TR_1_x_85_0nt.fa_004
1,74
2,80
3,95
4,97
5,102
6,103
7,107
8,107
9,107
10,109
11,112
12,112
13,113
14,117
15,118
16,118
17,121
18,122
19,122
20,123
21,123
22,123
23,123
24,123
25,123
26,123
27,123
28,123
29,123
30,123
31,123
32,123
33,122
34,122
35,122
36,121
37,122
38,122
39,122
40,121
41,120
42,120
43,119
44,118
45,117
46,117
47,115
48,111
49,111
50,109
51,59
52,59
53,47
54,47
55,47
56,45
57,45
58,44
59,44
60,44
61,44
62,43
63,43
64,43
65,43
66,42
67,42
68,42
69,42
70,42
71,41
72,41
73,41
74,41
75,38
76,37
77,37
78,36
79,35
80,34
81,34
82,34
83,33
84,33
85,31
