Position,amp_CL1_TR_1_x_85_0nt.fa_003
1,1048
2,1110
3,1159
4,1449
5,1476
6,1483
7,1511
8,1517
9,1532
10,1581
11,1605
12,1619
13,1640
14,1649
15,1655
16,1659
17,1665
18,1669
19,1672
20,1680
21,1684
22,1684
23,1684
24,1684
25,1684
26,1684
27,1684
28,1684
29,1684
30,1684
31,1682
32,1678
33,1678
34,1672
35,1669
36,1665
37,1657
38,1638
39,1631
40,1629
41,1626
42,1613
43,1605
44,1586
45,1562
46,1549
47,1515
48,1356
49,1325
50,1292
51,76
52,70
53,9
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,3
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
