Position,amp_CL1_TR_1_x_85_0nt.fa_005
1,55
2,59
3,65
4,75
5,75
6,76
7,79
8,80
9,80
10,81
11,81
12,82
13,85
14,87
15,89
16,90
17,94
18,94
19,94
20,95
21,95
22,97
23,97
24,97
25,97
26,97
27,97
28,98
29,98
30,98
31,98
32,98
33,98
34,98
35,98
36,97
37,97
38,97
39,96
40,95
41,95
42,95
43,94
44,94
45,92
46,92
47,91
48,87
49,85
50,85
51,33
52,33
53,23
54,23
55,23
56,23
57,23
58,23
59,23
60,22
61,22
62,22
63,22
64,21
65,21
66,21
67,21
68,21
69,21
70,21
71,20
72,19
73,19
74,16
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,14
85,14
