Position,liv_CL18_TR_1_x_135_0nt.fa_002
1,300
2,358
3,26934
4,28115
5,28852
6,29352
7,29967
8,30376
9,30548
10,33695
11,34272
12,34977
13,35425
14,35545
15,35609
16,35651
17,36959
18,37502
19,38037
20,38431
21,38871
22,39250
23,39549
24,39726
25,40009
26,40255
27,40673
28,40983
29,41327
30,41630
31,41922
32,42009
33,42113
34,42269
35,42401
36,42558
37,42495
38,42334
39,42274
40,42011
41,41560
42,41772
43,41757
44,41693
45,41579
46,39348
47,39332
48,39384
49,45100
50,45564
51,45705
52,46015
53,46234
54,46632
55,46687
56,46972
57,46940
58,47056
59,47241
60,47215
61,47424
62,47488
63,48920
64,49408
65,49486
66,49642
67,49596
68,49325
69,49039
70,47995
71,49268
72,49530
73,49934
74,49866
75,49953
76,49903
77,49915
78,49935
79,49891
80,49786
81,49583
82,49525
83,49496
84,49295
85,49301
86,49069
87,48735
88,48666
89,48533
90,48222
91,47657
92,46087
93,46502
94,46907
95,46887
96,46615
97,46476
98,46287
99,45997
100,45636
101,45192
102,42550
103,42161
104,41735
105,41213
106,40873
107,40511
108,40269
109,39879
110,39551
111,39095
112,38727
113,38442
114,37969
115,37494
116,35808
117,35780
118,35765
119,35704
120,34861
121,33839
122,32034
123,32027
124,32024
125,31965
126,31564
127,31124
128,29763
129,29751
130,29715
131,29658
132,29248
133,28301
134,27318
135,26223
