Position,RibosomalComplex_contig_690.fa_005
1,194
2,196
3,197
4,198
5,198
6,199
7,204
8,205
9,206
10,206
11,207
12,207
13,209
14,212
15,213
16,215
17,215
18,218
19,218
20,218
21,218
22,219
23,219
24,219
25,219
26,225
27,226
28,229
29,230
30,230
31,231
32,233
33,234
34,238
35,239
36,238
37,237
38,235
39,241
40,242
41,230
42,230
43,230
44,230
45,237
46,241
47,242
48,242
49,242
50,242
51,242
52,245
53,244
54,245
55,245
56,246
57,243
58,243
59,236
60,241
61,243
62,248
63,248
64,248
65,245
66,246
67,244
68,241
69,235
70,244
71,249
72,251
73,256
74,255
75,258
76,265
77,266
78,268
79,271
80,271
81,277
82,282
83,281
84,282
85,286
86,287
87,280
88,280
89,268
90,269
91,269
92,268
93,268
94,268
95,265
96,250
97,250
98,250
99,280
100,280
101,282
102,287
103,290
104,294
105,291
106,294
107,296
108,294
109,293
110,285
111,294
112,298
113,300
114,299
115,306
116,306
117,309
118,311
119,313
120,319
121,322
122,321
123,321
124,321
125,321
126,318
127,317
128,317
129,315
130,311
131,310
132,286
133,286
134,286
135,286
136,286
137,286
138,286
139,282
140,282
141,282
142,282
143,282
144,279
145,273
146,271
147,268
148,268
149,268
150,268
151,220
152,220
153,220
154,220
155,220
156,220
157,220
158,220
159,220
160,220
161,220
162,234
163,234
164,236
165,236
166,236
167,236
168,236
169,236
170,236
171,236
172,236
173,418
174,420
175,427
176,434
177,436
178,440
179,445
180,451
181,455
182,456
183,460
184,464
185,473
186,479
187,485
188,484
189,481
190,473
191,499
192,500
193,503
194,507
195,511
196,512
197,514
198,510
199,512
200,518
201,518
202,518
203,523
204,521
205,525
206,528
207,528
208,529
209,534
210,534
211,537
212,541
213,544
214,545
215,546
216,546
217,547
218,548
219,551
220,558
221,561
222,564
223,561
224,561
225,555
226,555
227,554
228,553
229,547
230,549
231,551
232,550
233,554
234,549
235,543
236,542
237,526
238,539
239,540
240,541
241,543
242,539
243,540
244,538
245,536
246,534
247,531
248,526
249,525
250,525
251,525
252,452
253,452
254,452
255,457
256,457
257,457
258,457
259,457
260,457
261,457
262,457
263,457
264,480
265,480
266,581
267,586
268,588
269,593
270,593
271,597
272,597
273,599
274,605
275,605
276,602
277,600
278,600
279,602
280,601
281,603
282,601
283,604
284,603
285,607
286,605
287,604
288,603
289,593
290,593
291,593
292,597
293,597
294,601
295,596
296,596
297,598
298,594
299,592
300,584
301,582
302,582
303,573
304,536
305,536
306,586
307,592
308,596
309,604
310,606
311,611
312,606
313,603
314,580
315,592
316,596
317,599
318,599
319,595
320,592
321,569
322,583
323,590
324,592
325,591
326,585
327,581
328,581
329,576
330,571
331,553
332,571
333,573
334,575
335,582
336,579
337,579
338,578
339,571
340,568
341,560
342,548
343,567
344,568
345,570
346,571
347,572
348,573
349,570
350,569
351,570
352,568
353,563
354,565
355,566
356,565
357,571
358,569
359,568
360,571
361,570
362,562
363,563
364,564
365,559
366,558
367,558
368,559
369,564
370,562
371,561
372,563
373,560
374,553
375,562
376,561
377,561
378,563
379,563
380,558
381,559
382,557
383,557
384,555
385,550
386,548
387,543
388,556
389,557
390,561
391,552
392,554
393,554
394,554
395,560
396,561
397,558
398,562
399,561
400,559
401,552
402,545
403,551
404,550
405,547
406,540
407,538
408,540
409,534
410,536
411,536
412,536
413,538
414,536
415,539
416,538
417,533
418,531
419,528
420,527
421,523
422,520
423,516
424,429
425,429
426,429
427,429
428,429
429,429
430,429
431,430
432,440
433,442
434,442
435,442
436,516
437,524
438,527
439,529
440,533
441,536
442,544
443,544
444,537
445,541
446,544
447,546
448,545
449,541
450,532
451,529
452,524
453,517
454,513
455,487
456,492
457,493
458,494
459,494
460,494
461,494
462,494
463,492
464,484
465,443
466,443
467,444
468,501
469,505
470,511
471,512
472,517
473,524
474,528
475,534
476,533
477,534
478,529
479,530
480,540
481,537
482,535
483,539
484,542
485,543
486,549
487,552
488,551
489,571
490,576
491,574
492,570
493,573
494,573
495,570
496,571
497,574
498,571
499,574
500,574
501,577
502,576
503,577
504,572
505,570
506,573
507,570
508,570
509,569
510,572
511,574
512,577
513,576
514,571
515,563
516,548
517,556
518,557
519,559
520,561
521,556
522,549
523,549
524,550
525,547
526,549
527,547
528,555
529,553
530,553
531,556
532,554
533,559
534,562
535,559
536,560
537,555
538,556
539,556
540,557
541,555
542,552
543,554
544,552
545,550
546,550
547,549
548,548
549,542
550,538
551,534
552,533
553,527
554,518
555,515
556,512
557,510
558,507
559,504
560,500
561,495
562,493
563,486
564,486
565,477
566,475
567,472
568,469
569,464
570,461
571,454
572,436
573,424
574,382
575,382
576,382
577,382
578,382
579,382
580,382
581,382
582,382
583,382
584,383
585,375
586,775
587,450
588,448
589,458
590,462
591,465
592,475
593,481
594,485
595,492
596,495
597,496
598,501
599,506
600,509
601,514
602,518
603,520
604,523
605,528
606,530
607,536
608,550
609,556
610,557
611,560
612,563
613,565
614,572
615,578
616,575
617,573
618,573
619,569
620,569
621,573
622,566
623,563
624,563
625,572
626,565
627,566
628,563
629,554
630,554
631,555
632,555
633,559
634,561
635,555
636,555
637,559
638,560
639,561
640,561
641,558
642,558
643,560
644,562
645,563
646,564
647,565
648,564
649,561
650,568
651,573
652,571
653,569
654,549
655,564
656,568
657,570
658,571
659,574
660,574
661,579
662,577
663,580
664,579
665,585
666,586
667,588
668,586
669,586
670,585
671,583
672,581
673,583
674,588
675,590
676,586
677,585
678,575
679,591
680,596
681,598
682,600
683,601
684,600
685,596
686,593
687,576
688,593
689,599
690,604
691,603
692,603
693,604
694,606
695,609
696,608
697,610
698,613
699,613
700,611
701,609
702,610
703,609
704,609
705,609
706,611
707,615
708,614
709,615
710,615
711,619
712,619
713,621
714,620
715,614
716,611
717,611
718,615
719,611
720,611
721,608
722,610
723,609
724,599
725,600
726,602
727,601
728,597
729,593
730,590
731,596
732,597
733,597
734,595
735,594
736,590
737,588
738,582
739,580
740,582
741,581
742,576
743,574
744,569
745,566
746,567
747,574
748,570
749,574
750,573
751,575
752,575
753,581
754,586
755,585
756,583
757,588
758,590
759,585
760,582
761,584
762,587
763,588
764,593
765,590
766,589
767,590
768,589
769,598
770,601
771,600
772,602
773,600
774,602
775,603
776,602
777,603
778,604
779,605
780,603
781,598
782,604
783,602
784,604
785,604
786,602
787,600
788,596
789,590
790,590
791,586
792,587
793,585
794,578
795,581
796,577
797,577
798,574
799,572
800,551
801,567
802,573
803,578
804,587
805,588
806,589
807,584
808,582
809,568
810,578
811,578
812,582
813,581
814,581
815,580
816,579
817,578
818,582
819,583
820,583
821,584
822,586
823,588
824,587
825,593
826,596
827,590
828,590
829,589
830,587
831,586
832,588
833,581
834,581
835,586
836,593
837,585
838,589
839,588
840,587
841,588
842,588
843,584
844,580
845,578
846,581
847,583
848,585
849,580
850,581
851,585
852,582
853,583
854,584
855,586
856,586
857,590
858,587
859,590
860,585
861,585
862,583
863,590
864,586
865,585
866,588
867,587
868,588
869,588
870,584
871,581
872,579
873,579
874,581
875,578
876,576
877,582
878,586
879,587
880,584
881,586
882,582
883,584
884,590
885,583
886,587
887,590
888,590
889,593
890,594
891,594
892,590
893,588
894,587
895,586
896,586
897,582
898,584
899,587
900,583
901,574
902,562
903,562
904,561
905,563
906,561
907,562
908,565
909,571
910,567
911,564
912,563
913,557
914,558
915,559
916,559
917,556
918,557
919,557
920,556
921,551
922,551
923,552
924,552
925,557
926,558
927,555
928,558
929,560
930,558
931,557
932,556
933,554
934,556
935,555
936,546
937,544
938,536
939,549
940,557
941,560
942,565
943,560
944,568
945,566
946,571
947,573
948,575
949,576
950,581
951,579
952,582
953,592
954,589
955,586
956,589
957,599
958,602
959,602
960,607
961,601
962,604
963,607
964,612
965,619
966,614
967,613
968,611
969,608
970,611
971,603
972,605
973,601
974,606
975,601
976,599
977,601
978,601
979,599
980,601
981,597
982,599
983,597
984,603
985,608
986,609
987,605
988,600
989,601
990,599
991,601
992,604
993,603
994,605
995,609
996,601
997,598
998,597
999,577
1000,590
1001,596
1002,594
1003,597
1004,596
1005,597
1006,597
1007,602
1008,603
1009,604
1010,606
1011,601
1012,600
1013,599
1014,594
1015,597
1016,603
1017,609
1018,607
1019,609
1020,603
1021,599
1022,597
1023,584
1024,605
1025,611
1026,613
1027,611
1028,613
1029,608
1030,603
1031,605
1032,606
1033,602
1034,594
1035,577
1036,596
1037,604
1038,604
1039,603
1040,609
1041,609
1042,613
1043,613
1044,615
1045,619
1046,622
1047,624
1048,623
1049,618
1050,605
1051,624
1052,626
1053,630
1054,631
1055,630
1056,624
1057,629
1058,626
1059,624
1060,625
1061,629
1062,625
1063,629
1064,630
1065,634
1066,636
1067,633
1068,638
1069,635
1070,636
1071,635
1072,640
1073,635
1074,637
1075,638
1076,643
1077,636
1078,631
1079,629
1080,637
1081,647
1082,646
1083,639
1084,638
1085,620
1086,641
1087,648
1088,653
1089,657
1090,655
1091,650
1092,642
1093,623
1094,640
1095,644
1096,647
1097,645
1098,646
1099,639
1100,634
1101,631
1102,634
1103,630
1104,624
1105,620
1106,622
1107,614
1108,608
1109,597
1110,621
1111,624
1112,627
1113,623
1114,623
1115,620
1116,618
1117,617
1118,615
1119,618
1120,631
1121,630
1122,629
1123,629
1124,627
1125,628
1126,626
1127,624
1128,621
1129,625
1130,622
1131,623
1132,623
1133,621
1134,620
1135,618
1136,617
1137,613
1138,608
1139,605
1140,605
1141,608
1142,602
1143,599
1144,596
1145,593
1146,591
1147,585
1148,569
1149,592
1150,594
1151,600
1152,598
1153,605
1154,604
1155,606
1156,605
1157,604
1158,608
1159,604
1160,605
1161,609
1162,611
1163,609
1164,609
1165,611
1166,603
1167,598
1168,589
1169,572
1170,591
1171,595
1172,601
1173,607
1174,603
1175,605
1176,604
1177,602
1178,608
1179,604
1180,597
1181,595
1182,598
1183,600
1184,604
1185,603
1186,599
1187,597
1188,595
1189,593
1190,599
1191,596
1192,595
1193,595
1194,588
1195,588
1196,588
1197,584
1198,582
1199,588
1200,587
1201,581
1202,583
1203,589
1204,586
1205,588
1206,588
1207,585
1208,577
1209,576
1210,557
1211,573
1212,575
1213,579
1214,578
1215,577
1216,578
1217,577
1218,575
1219,573
1220,574
1221,569
1222,571
1223,562
1224,555
1225,558
1226,558
1227,554
1228,548
1229,544
1230,544
1231,545
1232,539
1233,548
1234,547
1235,543
1236,541
1237,539
1238,533
1239,531
1240,519
1241,529
1242,531
1243,531
1244,517
1245,543
1246,546
1247,548
1248,547
1249,545
1250,549
1251,550
1252,551
1253,546
1254,546
1255,541
1256,521
1257,538
1258,542
1259,543
1260,539
1261,536
1262,533
1263,522
1264,542
1265,543
1266,548
1267,544
1268,545
1269,546
1270,548
1271,545
1272,545
1273,542
1274,542
1275,540
1276,530
1277,540
1278,542
1279,543
1280,544
1281,545
1282,547
1283,547
1284,551
1285,551
1286,556
1287,556
1288,554
1289,551
1290,552
1291,554
1292,549
1293,552
1294,558
1295,563
1296,563
1297,558
1298,565
1299,564
1300,567
1301,575
1302,574
1303,574
1304,576
1305,576
1306,576
1307,580
1308,575
1309,575
1310,576
1311,580
1312,581
1313,588
1314,583
1315,587
1316,584
1317,584
1318,579
1319,576
1320,577
1321,573
1322,578
1323,576
1324,571
1325,569
1326,560
1327,580
1328,587
1329,594
1330,588
1331,594
1332,599
1333,597
1334,602
1335,602
1336,603
1337,605
1338,606
1339,603
1340,616
1341,614
1342,615
1343,615
1344,620
1345,621
1346,622
1347,617
1348,622
1349,618
1350,620
1351,619
1352,622
1353,614
1354,615
1355,614
1356,615
1357,616
1358,619
1359,615
1360,605
1361,605
1362,611
1363,613
1364,603
1365,605
1366,607
1367,611
1368,609
1369,616
1370,615
1371,614
1372,617
1373,617
1374,618
1375,617
1376,606
1377,614
1378,615
1379,615
1380,601
1381,623
1382,625
1383,632
1384,627
1385,630
1386,626
1387,622
1388,626
1389,625
1390,628
1391,627
1392,626
1393,623
1394,623
1395,622
1396,627
1397,628
1398,622
1399,620
1400,616
1401,610
1402,603
1403,602
1404,572
1405,573
1406,597
1407,602
1408,605
1409,607
1410,606
1411,605
1412,590
1413,619
1414,625
1415,625
1416,637
1417,633
1418,632
1419,639
1420,639
1421,634
1422,632
1423,632
1424,632
1425,632
1426,632
1427,633
1428,636
1429,636
1430,637
1431,632
1432,632
1433,641
1434,641
1435,636
1436,639
1437,641
1438,645
1439,645
1440,645
1441,646
1442,645
1443,644
1444,642
1445,641
1446,641
1447,635
1448,635
1449,639
1450,640
1451,641
1452,640
1453,643
1454,647
1455,645
1456,643
1457,638
1458,629
1459,619
1460,617
1461,615
1462,613
1463,617
1464,612
1465,619
1466,615
1467,615
1468,616
1469,610
1470,616
1471,619
1472,617
1473,614
1474,612
1475,612
1476,613
1477,609
1478,603
1479,605
1480,603
1481,595
1482,599
1483,596
1484,594
1485,597
1486,596
1487,597
1488,600
1489,609
1490,605
1491,602
1492,605
1493,600
1494,599
1495,602
1496,605
1497,606
1498,606
1499,605
1500,601
1501,595
1502,591
1503,586
1504,583
1505,570
1506,571
1507,571
1508,571
1509,540
1510,540
1511,540
1512,593
1513,598
1514,605
1515,605
1516,610
1517,607
1518,599
1519,592
1520,594
1521,598
1522,598
1523,598
1524,600
1525,600
1526,601
1527,599
1528,601
1529,600
1530,601
1531,604
1532,609
1533,610
1534,606
1535,604
1536,601
1537,604
1538,605
1539,604
1540,602
1541,603
1542,606
1543,603
1544,603
1545,604
1546,601
1547,608
1548,608
1549,603
1550,603
1551,611
1552,608
1553,609
1554,605
1555,603
1556,609
1557,612
1558,609
1559,610
1560,601
1561,603
1562,601
1563,603
1564,607
1565,603
1566,603
1567,603
1568,603
1569,603
1570,603
1571,605
1572,613
1573,610
1574,616
1575,618
1576,619
1577,618
1578,621
1579,622
1580,620
1581,619
1582,616
1583,618
1584,617
1585,623
1586,614
1587,614
1588,619
1589,615
1590,615
1591,614
1592,613
1593,611
1594,615
1595,619
1596,622
1597,617
1598,622
1599,617
1600,621
1601,624
1602,621
1603,621
1604,615
1605,618
1606,617
1607,624
1608,626
1609,629
1610,628
1611,628
1612,629
1613,628
1614,626
1615,630
1616,624
1617,630
1618,626
1619,621
1620,619
1621,610
1622,602
1623,627
1624,629
1625,641
1626,637
1627,639
1628,637
1629,637
1630,636
1631,643
1632,646
1633,646
1634,644
1635,645
1636,643
1637,647
1638,648
1639,649
1640,648
1641,646
1642,648
1643,649
1644,644
1645,658
1646,654
1647,650
1648,654
1649,652
1650,652
1651,655
1652,654
1653,654
1654,652
1655,652
1656,650
1657,645
1658,647
1659,646
1660,638
1661,639
1662,639
1663,642
1664,645
1665,650
1666,646
1667,645
1668,645
1669,648
1670,653
1671,656
1672,649
1673,650
1674,651
1675,646
1676,645
1677,642
1678,643
1679,643
1680,645
1681,644
1682,641
1683,638
1684,636
1685,635
1686,635
1687,635
1688,636
1689,640
1690,641
1691,649
1692,649
1693,653
1694,654
1695,651
1696,648
1697,648
1698,651
1699,648
1700,650
1701,650
1702,650
1703,645
1704,642
1705,638
1706,651
1707,654
1708,654
1709,654
1710,659
1711,657
1712,658
1713,659
1714,661
1715,661
1716,658
1717,658
1718,653
1719,654
1720,656
1721,655
1722,656
1723,652
1724,648
1725,651
1726,648
1727,648
1728,648
1729,646
1730,642
1731,645
1732,645
1733,642
1734,639
1735,633
1736,634
1737,635
1738,632
1739,627
1740,629
1741,628
1742,631
1743,630
1744,627
1745,630
1746,622
1747,627
1748,633
1749,629
1750,634
1751,627
1752,626
1753,625
1754,626
1755,628
1756,621
1757,623
1758,625
1759,619
1760,616
1761,615
1762,614
1763,615
1764,615
1765,615
1766,621
1767,613
1768,612
1769,608
1770,607
1771,602
1772,605
1773,600
1774,604
1775,594
1776,596
1777,599
1778,603
1779,601
1780,601
1781,603
1782,610
1783,611
1784,610
1785,605
1786,604
1787,604
1788,614
1789,598
1790,600
1791,600
1792,600
1793,602
1794,597
1795,598
1796,605
1797,609
1798,603
1799,602
1800,601
1801,602
1802,602
1803,604
1804,601
1805,601
1806,601
1807,602
1808,599
1809,597
1810,606
1811,606
1812,599
1813,605
1814,607
1815,600
1816,598
1817,595
1818,600
1819,596
1820,595
1821,595
1822,595
1823,601
1824,602
1825,601
1826,599
1827,601
1828,599
1829,597
1830,596
1831,592
1832,599
1833,597
1834,594
1835,597
1836,601
1837,599
1838,601
1839,604
1840,600
1841,600
1842,601
1843,601
1844,600
1845,602
1846,598
1847,601
1848,594
1849,600
1850,596
1851,599
1852,598
1853,597
1854,598
1855,596
1856,590
1857,582
1858,581
1859,581
1860,580
1861,579
1862,576
1863,576
1864,574
1865,573
1866,570
1867,570
1868,572
1869,569
1870,567
1871,572
1872,565
1873,564
1874,565
1875,566
1876,565
1877,570
1878,576
1879,583
1880,584
1881,580
1882,579
1883,582
1884,580
1885,581
1886,583
1887,583
1888,582
1889,583
1890,585
1891,586
1892,583
1893,585
1894,588
1895,589
1896,587
1897,587
1898,583
1899,586
1900,583
1901,587
1902,586
1903,586
1904,590
1905,592
1906,589
1907,588
1908,583
1909,586
1910,588
1911,590
1912,589
1913,592
1914,590
1915,585
1916,576
1917,577
1918,574
1919,578
1920,575
1921,571
1922,569
1923,567
1924,568
1925,570
1926,569
1927,571
1928,563
1929,561
1930,556
1931,557
1932,557
1933,561
1934,566
1935,570
1936,572
