Position,CL99_TR_1_x_2790_0nt.fa_007
1,0
2,0
3,31
4,32
5,32
6,32
7,32
8,33
9,33
10,33
11,33
12,33
13,33
14,34
15,34
16,36
17,36
18,36
19,36
20,36
21,37
22,38
23,39
24,40
25,40
26,41
27,43
28,44
29,44
30,44
31,44
32,44
33,46
34,46
35,48
36,47
37,47
38,39
39,38
40,38
41,37
42,37
43,42
44,43
45,42
46,41
47,41
48,42
49,42
50,43
51,42
52,41
53,39
54,46
55,48
56,48
57,48
58,49
59,50
60,52
61,53
62,53
63,53
64,52
65,51
66,56
67,55
68,54
69,55
70,55
71,55
72,56
73,56
74,55
75,55
76,55
77,55
78,55
79,55
80,55
81,57
82,56
83,57
84,58
85,58
86,59
87,62
88,61
89,62
90,63
91,65
92,66
93,66
94,66
95,67
96,67
97,66
98,69
99,69
100,69
101,71
102,72
103,72
104,74
105,74
106,76
107,76
108,76
109,76
110,78
111,79
112,83
113,84
114,85
115,85
116,84
117,88
118,89
119,91
120,90
121,92
122,91
123,92
124,92
125,92
126,90
127,89
128,91
129,90
130,89
131,87
132,86
133,87
134,90
135,91
136,93
137,100
138,100
139,101
140,102
141,101
142,100
143,103
144,102
145,103
146,103
147,103
148,104
149,107
150,108
151,110
152,110
153,111
154,111
155,111
156,112
157,113
158,113
159,112
160,111
161,111
162,110
163,109
164,109
165,108
166,109
167,109
168,109
169,108
170,108
171,108
172,108
173,108
174,109
175,110
176,110
177,110
178,111
179,110
180,109
181,108
182,106
183,109
184,108
185,110
186,108
187,107
188,106
189,106
190,106
191,106
192,99
193,100
194,109
195,110
196,112
197,117
198,118
199,118
200,117
201,122
202,123
203,125
204,125
205,128
206,127
207,129
208,131
209,132
210,131
211,131
212,131
213,129
214,126
215,129
216,129
217,127
218,124
219,125
220,126
221,125
222,126
223,123
224,120
225,119
226,120
227,122
228,123
229,117
230,116
231,114
232,113
233,113
234,112
235,111
236,109
237,110
238,110
239,110
240,109
241,109
242,109
243,107
244,107
245,105
246,105
247,104
248,103
249,95
250,95
251,95
252,95
253,98
254,99
255,99
256,98
257,97
258,97
259,96
260,95
261,97
262,97
263,97
264,97
265,98
266,96
267,95
268,95
269,93
270,93
271,90
272,89
273,89
274,90
275,90
