Position,CL183_TR_1_x_332_0nt.fa_001
1,62
2,64
3,71
4,72
5,74
6,75
7,76
8,78
9,81
10,81
11,82
12,82
13,84
14,89
15,93
16,96
17,97
18,97
19,98
20,100
21,101
22,103
23,104
24,105
25,106
26,111
27,114
28,116
29,120
30,123
31,124
32,124
33,126
34,128
35,131
36,131
37,131
38,134
39,137
40,137
41,137
42,137
43,138
44,138
45,140
46,139
47,148
48,149
49,152
50,152
51,156
52,158
53,160
54,161
55,160
56,160
57,160
58,160
59,162
60,166
61,166
62,168
63,166
64,168
65,172
66,173
67,174
68,172
69,175
70,175
71,172
72,169
73,165
74,171
75,174
76,177
77,176
78,176
79,174
80,186
81,189
82,195
83,192
84,193
85,193
86,191
87,191
88,194
89,196
90,194
91,195
92,194
93,188
94,191
95,191
96,193
97,194
98,196
99,195
100,196
101,196
102,198
103,197
104,198
105,199
106,198
107,197
108,196
109,195
110,192
111,182
112,182
113,180
114,182
115,185
116,185
117,183
118,183
119,183
120,181
121,183
122,185
123,183
124,184
125,184
126,185
127,184
128,186
129,183
130,182
131,178
132,176
133,174
134,175
135,176
136,176
137,177
138,180
139,173
140,156
141,156
142,159
143,159
144,159
145,161
146,161
147,158
148,157
149,157
150,157
151,158
152,158
153,167
154,168
155,168
156,169
157,166
158,165
159,179
160,184
161,186
162,190
163,193
164,191
165,190
166,192
167,191
168,192
169,191
170,192
171,191
172,189
173,188
174,189
175,188
176,185
177,184
178,181
179,178
180,176
181,174
182,173
183,171
184,171
185,172
186,171
187,171
188,168
189,168
190,168
191,168
192,170
193,169
194,180
195,179
196,183
197,183
198,184
199,186
200,185
201,184
202,182
203,181
204,183
205,183
206,189
207,191
208,191
209,193
210,198
211,202
212,206
213,206
214,205
215,199
216,198
217,200
218,201
219,201
220,198
221,200
222,207
223,213
224,215
225,216
226,218
227,213
228,220
229,219
230,222
231,223
232,225
233,226
234,222
235,223
236,221
237,228
238,230
239,231
240,230
241,229
242,231
243,230
244,230
245,230
246,229
247,234
248,236
249,235
250,232
251,230
252,228
253,227
254,223
255,226
256,225
257,225
258,224
259,223
260,223
261,222
262,225
263,224
264,227
265,228
266,231
267,232
268,229
269,229
270,229
271,226
272,223
273,224
274,221
275,221
276,220
277,223
278,223
279,220
280,219
281,216
282,217
283,214
284,210
285,208
286,208
287,209
288,209
289,211
290,212
291,211
292,207
293,205
294,198
295,197
296,195
297,190
298,190
299,188
300,187
301,185
302,182
303,182
304,182
305,181
306,176
307,175
308,171
309,169
310,160
311,158
312,154
313,149
314,142
315,142
316,139
317,136
318,118
319,114
320,113
321,112
322,110
323,109
324,105
325,53
326,52
327,40
328,40
329,37
330,36
331,31
332,17
333,0
334,0
335,0
336,0
