Position,CL44_TR_1_x_181_0nt.fa_004
1,2991
2,3069
3,3220
4,7737
5,8042
6,8199
7,8866
8,9020
9,9110
10,9173
11,9314
12,9358
13,9402
14,9431
15,9735
16,9887
17,10003
18,10217
19,10307
20,11534
21,11712
22,12129
23,12358
24,12567
25,12838
26,12964
27,13204
28,13374
29,13449
30,13696
31,13834
32,13975
33,14149
34,14324
35,14385
36,14521
37,14620
38,14655
39,14708
40,14997
41,15077
42,15245
43,15320
44,15327
45,15368
46,15256
47,15333
48,15434
49,15491
50,15563
51,15412
52,15434
53,15537
54,15342
55,15342
56,15311
57,15423
58,15362
59,15202
60,15177
61,15174
62,15230
63,15170
64,15222
65,15278
66,15281
67,15399
68,15393
69,15314
70,15252
71,15244
72,15426
73,15467
74,15382
75,15637
76,15622
77,15688
78,15787
79,15840
80,15853
81,15856
82,15916
83,15933
84,15937
85,15951
86,15997
87,16000
88,15926
89,15877
90,15821
91,15762
92,15785
93,15690
94,15611
95,15635
96,15672
97,15670
98,15790
99,15804
100,15749
101,15739
102,15712
103,15807
104,15914
105,15958
106,15987
107,16041
108,16016
109,16076
110,16119
111,16176
112,16288
113,16344
114,16382
115,16387
116,16282
117,16149
118,16135
119,16156
120,16140
121,16026
122,15982
123,16011
124,16042
125,16026
126,15927
127,16132
128,16119
129,16051
130,16100
131,16166
132,16064
133,16163
134,16075
135,16048
136,16076
137,16201
138,16213
139,16168
140,16114
141,16041
142,15960
143,15757
144,15712
145,15711
146,15687
147,15751
148,15687
149,15553
150,15469
151,15308
152,15086
153,15014
154,14939
155,14511
156,14439
157,14353
158,14279
159,14191
160,14034
161,13863
162,13693
163,13511
164,13300
165,13126
166,12976
167,12808
168,12571
169,12321
170,12129
171,11945
172,11748
173,11518
174,11370
175,11141
176,10727
177,10559
178,10464
179,10247
180,9536
181,9051
182,0
183,0
