Position,CL6_TR_1_x_181_0nt.fa_003
1,3899
2,4284
3,4814
4,4997
5,5183
6,5314
7,5401
8,5871
9,6395
10,6563
11,6759
12,6873
13,7014
14,7104
15,7249
16,7331
17,7412
18,7488
19,7738
20,7834
21,7907
22,8033
23,8204
24,8291
25,8357
26,8494
27,8784
28,8926
29,9024
30,9133
31,9247
32,9326
33,9424
34,9518
35,9648
36,9791
37,9873
38,9994
39,10100
40,10182
41,10258
42,10349
43,10409
44,10465
45,10457
46,10494
47,10481
48,10653
49,10683
50,10687
51,10795
52,10844
53,10872
54,10902
55,10901
56,10851
57,10852
58,10819
59,10838
60,10912
61,10940
62,10959
63,10965
64,10978
65,10926
66,10821
67,10766
68,10760
69,10740
70,10685
71,10706
72,10677
73,10629
74,10643
75,10627
76,10575
77,10605
78,10611
79,10534
80,10496
81,10460
82,10492
83,10477
84,10487
85,10519
86,10603
87,10615
88,10590
89,10553
90,10459
91,10367
92,10313
93,10272
94,10169
95,10186
96,10142
97,10105
98,10047
99,9975
100,9972
101,9955
102,9947
103,9939
104,9900
105,9777
106,9747
107,9718
108,9702
109,9703
110,9739
111,9707
112,9710
113,9707
114,9729
115,9712
116,9664
117,9600
118,9566
119,9538
120,9496
121,9433
122,9424
123,9387
124,9317
125,9250
126,9173
127,9145
128,9039
129,9013
130,8949
131,8700
132,8664
133,8686
134,8695
135,8631
136,8540
137,8512
138,8421
139,8398
140,8383
141,8323
142,8277
143,8255
144,8317
145,8277
146,8123
147,8098
148,8066
149,8102
150,8011
151,7919
152,7880
153,7742
154,7657
155,7550
156,7447
157,7316
158,7261
159,7118
160,7018
161,6871
162,6822
163,6570
164,6495
165,6380
166,6278
167,6190
168,6115
169,5941
170,5813
171,5693
172,5616
173,5481
174,5428
175,5303
176,5147
177,4913
178,4475
179,4179
180,2306
181,1805
182,0
183,0
