Position,AY678298_1_c29086-23326_Lycopersicon_esculentum_clone_56B23_chromosome_6__gypsy.fa_002
1,0
2,0
3,0
4,0
5,2
6,2
7,2
8,2
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,4
194,4
195,4
196,4
197,4
198,4
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,6
261,6
262,6
263,5
264,5
265,5
266,5
267,5
268,5
