Position,CL44_TR_1_x_181_0nt.fa_002
1,1953
2,2019
3,2129
4,6318
5,6547
6,6688
7,7220
8,7341
9,7407
10,7461
11,7584
12,7620
13,7645
14,7670
15,7954
16,8141
17,8265
18,8409
19,8487
20,9500
21,9632
22,9870
23,10041
24,10210
25,10467
26,10582
27,10770
28,10930
29,10993
30,11171
31,11299
32,11412
33,11538
34,11689
35,11763
36,11880
37,11935
38,11967
39,11993
40,12298
41,12358
42,12461
43,12516
44,12541
45,12573
46,12525
47,12571
48,12670
49,12726
50,12762
51,12652
52,12684
53,12778
54,12614
55,12601
56,12576
57,12700
58,12683
59,12529
60,12507
61,12529
62,12574
63,12552
64,12579
65,12669
66,12652
67,12750
68,12755
69,12686
70,12668
71,12681
72,12853
73,12864
74,12811
75,12964
76,12942
77,13016
78,13066
79,13129
80,13154
81,13135
82,13198
83,13204
84,13223
85,13231
86,13260
87,13284
88,13276
89,13224
90,13178
91,13129
92,13151
93,13124
94,13112
95,13120
96,13116
97,13124
98,13236
99,13251
100,13231
101,13175
102,13173
103,13233
104,13276
105,13318
106,13334
107,13372
108,13322
109,13374
110,13401
111,13469
112,13570
113,13655
114,13697
115,13718
116,13718
117,13664
118,13652
119,13620
120,13627
121,13551
122,13520
123,13557
124,13630
125,13593
126,13550
127,13652
128,13663
129,13579
130,13612
131,13669
132,13596
133,13650
134,13579
135,13581
136,13573
137,13690
138,13686
139,13647
140,13573
141,13494
142,13406
143,13235
144,13188
145,13177
146,13138
147,13090
148,13009
149,12903
150,12831
151,12715
152,12486
153,12428
154,12352
155,11961
156,11896
157,11811
158,11758
159,11688
160,11565
161,11408
162,11246
163,11084
164,10895
165,10734
166,10601
167,10478
168,10295
169,10102
170,9950
171,9807
172,9569
173,9406
174,9261
175,9088
176,8739
177,8584
178,8494
179,8316
180,7774
181,7354
182,0
183,0
