Position,CL99_TR_1_x_2790_0nt.fa_008
1,19
2,21
3,177
4,181
5,187
6,197
7,198
8,206
9,207
10,208
11,211
12,213
13,223
14,227
15,233
16,233
17,237
18,238
19,241
20,241
21,249
22,256
23,264
24,271
25,273
26,279
27,282
28,285
29,289
30,295
31,302
32,308
33,310
34,317
35,323
36,324
37,326
38,330
39,337
40,340
41,342
42,341
43,353
44,355
45,345
46,349
47,352
48,368
49,373
50,377
51,378
52,375
53,373
54,382
55,391
56,395
57,399
58,402
59,407
60,410
61,413
62,412
63,422
64,423
65,424
66,435
67,435
68,443
69,448
70,447
71,452
72,445
73,447
74,442
75,445
76,443
77,438
78,443
79,442
80,438
81,438
82,442
83,444
84,453
85,461
86,463
87,469
88,460
89,462
90,463
91,466
92,469
93,468
94,465
95,472
96,477
97,477
98,480
99,479
100,472
101,472
102,473
103,475
104,474
105,478
106,480
107,482
108,486
109,489
110,487
111,483
112,477
113,479
114,485
115,487
116,489
117,491
118,489
119,485
120,483
121,487
122,484
123,473
124,461
125,466
126,465
127,463
128,465
129,463
130,459
131,461
132,446
133,448
134,449
135,447
136,453
137,460
138,459
139,459
140,463
141,458
142,454
143,461
144,463
145,463
146,463
147,460
148,465
149,470
150,465
151,469
152,471
153,469
154,468
155,469
156,476
157,474
158,478
159,478
160,480
161,477
162,470
163,466
164,466
165,456
166,448
167,445
168,439
169,443
170,443
171,445
172,442
173,440
174,437
175,438
176,435
177,431
178,434
179,432
180,428
181,424
182,411
183,410
184,402
185,404
186,405
187,407
188,407
189,410
190,411
191,412
192,414
193,417
194,405
195,405
196,404
197,404
198,401
199,396
200,396
201,396
202,391
203,384
204,389
205,387
206,381
207,382
208,377
209,375
210,371
211,370
212,373
213,373
214,376
215,378
216,378
217,376
218,381
219,380
220,380
221,385
222,381
223,384
224,387
225,389
226,386
227,388
228,382
229,377
230,371
231,368
232,355
233,357
234,359
235,356
236,351
237,354
238,357
239,352
240,352
241,351
242,349
243,343
244,335
245,337
246,335
247,333
248,329
249,328
250,322
251,322
252,321
253,319
254,320
255,324
256,323
257,325
258,320
259,319
260,329
261,329
262,325
263,329
264,329
265,330
266,329
267,329
268,320
269,327
270,325
271,324
272,319
273,323
274,324
275,326
276,327
277,333
278,336
279,337
280,335
281,338
282,341
283,339
284,334
285,335
286,333
287,329
288,328
289,318
290,319
291,321
292,321
293,322
294,322
295,322
296,323
297,322
298,323
299,326
300,323
301,323
302,327
303,325
304,325
305,327
306,326
307,327
308,329
309,330
310,333
311,332
312,335
313,334
314,339
315,342
316,340
317,340
318,339
319,330
320,331
321,329
322,331
323,334
324,330
325,336
326,342
327,352
328,352
329,358
330,359
331,362
332,370
333,372
334,371
335,378
336,374
337,379
338,381
339,387
340,390
341,395
342,396
343,393
344,389
345,392
346,395
347,390
348,387
349,389
350,392
351,390
352,397
353,400
354,401
355,399
356,395
357,395
358,397
359,397
360,391
361,397
362,392
363,392
364,379
365,394
366,396
367,398
368,398
369,401
370,404
371,403
372,404
373,400
374,402
375,402
376,400
377,399
378,403
379,401
380,401
381,406
382,405
383,406
384,410
385,409
386,408
387,408
388,406
389,408
390,404
391,409
392,409
393,407
394,420
395,420
396,420
397,425
398,425
399,427
400,428
401,422
402,419
403,425
404,428
405,425
406,427
407,429
408,422
409,418
410,423
411,417
412,421
413,422
414,420
415,413
416,413
417,422
418,418
419,412
420,408
421,408
422,407
423,402
424,407
425,404
426,399
427,398
428,400
429,395
430,391
431,389
432,389
433,383
434,384
435,372
436,382
437,381
438,379
439,379
440,384
441,380
442,372
443,369
444,367
445,365
446,363
447,363
448,360
449,354
450,354
451,353
452,366
453,368
454,365
455,365
456,367
457,371
458,375
459,375
460,384
461,380
462,380
463,379
464,376
465,374
466,378
467,371
468,369
469,372
470,369
471,361
472,363
473,366
474,365
475,363
476,359
477,357
478,348
479,345
480,344
481,343
482,345
483,341
484,347
485,347
486,345
487,334
488,334
489,333
490,331
491,331
492,332
493,331
494,328
495,328
496,326
497,328
498,322
499,327
500,334
501,336
502,333
503,333
504,336
505,322
506,324
507,317
508,333
509,334
510,334
511,335
512,337
513,332
514,333
515,336
516,330
517,333
518,342
519,351
520,349
521,356
522,358
523,361
524,365
525,367
526,365
527,369
528,368
529,368
530,368
531,371
532,368
533,377
534,383
535,385
536,386
537,380
538,376
539,379
540,378
541,381
542,378
543,373
544,377
545,373
546,373
547,371
548,369
549,370
550,366
551,371
552,375
553,376
554,379
555,378
556,378
557,382
558,378
559,378
560,380
561,381
562,380
563,391
564,390
565,391
566,396
567,392
568,394
569,401
570,399
571,397
572,394
573,397
574,395
575,396
576,397
577,399
578,400
579,396
580,396
581,392
582,387
583,385
584,390
585,398
586,403
587,406
588,411
589,412
590,408
591,402
592,401
593,402
594,402
595,408
596,400
597,402
598,403
599,403
600,401
601,397
602,391
603,395
604,396
605,403
606,398
607,381
608,390
609,392
610,388
611,392
612,400
613,404
614,405
615,404
616,409
617,404
618,402
619,404
620,402
621,404
622,406
623,396
624,401
625,402
626,401
627,395
628,389
629,373
630,375
631,378
632,383
633,559
634,573
635,574
636,575
637,576
638,575
639,586
640,585
641,602
642,609
643,612
644,613
645,617
646,621
647,635
648,640
649,650
650,654
651,650
652,661
653,660
654,663
655,659
656,662
657,662
658,653
659,655
660,657
661,660
662,663
663,666
664,670
665,678
666,687
667,685
668,694
669,694
670,694
671,697
672,693
673,701
674,702
675,705
676,711
677,715
678,717
679,709
680,711
681,714
682,715
683,699
684,695
685,702
686,691
687,691
688,695
689,687
690,679
691,684
692,694
693,699
694,704
695,706
696,702
697,710
698,715
699,711
700,695
701,687
702,669
703,662
704,669
705,672
706,685
707,694
708,680
709,676
710,680
711,674
712,679
713,678
714,681
715,672
716,663
717,658
718,675
719,672
720,676
721,675
722,679
723,685
724,689
725,682
726,687
727,686
728,685
729,684
730,681
731,679
732,684
733,686
734,680
735,668
736,653
737,644
738,640
739,642
740,629
741,634
742,624
743,635
744,643
745,642
746,629
747,633
748,635
749,628
750,632
751,632
752,629
753,613
754,607
755,608
756,613
757,617
758,606
759,608
760,608
761,608
762,617
763,624
764,629
765,625
766,613
767,650
768,649
769,651
770,649
771,771
772,811
773,829
774,833
775,830
776,828
777,813
778,804
779,803
780,800
781,870
782,863
783,861
