Position,CL183_TR_1_x_332_0nt.fa_004
1,186
2,195
3,206
4,209
5,214
6,221
7,224
8,227
9,234
10,238
11,242
12,244
13,246
14,250
15,260
16,265
17,269
18,269
19,270
20,273
21,282
22,284
23,289
24,297
25,303
26,315
27,326
28,335
29,347
30,348
31,349
32,352
33,366
34,390
35,394
36,397
37,400
38,403
39,406
40,411
41,414
42,417
43,416
44,414
45,415
46,413
47,434
48,434
49,437
50,446
51,445
52,445
53,452
54,459
55,464
56,464
57,463
58,467
59,469
60,477
61,479
62,482
63,478
64,480
65,481
66,481
67,480
68,480
69,477
70,474
71,466
72,463
73,453
74,468
75,485
76,488
77,483
78,479
79,468
80,491
81,496
82,509
83,516
84,524
85,527
86,526
87,524
88,521
89,519
90,521
91,521
92,517
93,512
94,524
95,529
96,531
97,532
98,533
99,530
100,532
101,533
102,534
103,531
104,532
105,532
106,532
107,533
108,528
109,522
110,516
111,496
112,487
113,489
114,502
115,500
116,499
117,499
118,499
119,500
120,499
121,495
122,496
123,497
124,487
125,480
126,477
127,472
128,466
129,466
130,461
131,457
132,454
133,418
134,425
135,426
136,426
137,425
138,432
139,426
140,405
141,407
142,408
143,432
144,432
145,435
146,433
147,426
148,422
149,412
150,412
151,414
152,409
153,425
154,427
155,428
156,427
157,423
158,425
159,435
160,447
161,445
162,445
163,444
164,444
165,443
166,446
167,441
168,436
169,434
170,439
171,433
172,436
173,445
174,447
175,444
176,437
177,433
178,433
179,432
180,423
181,417
182,410
183,404
184,407
185,404
186,402
187,400
188,395
189,392
190,385
191,393
192,393
193,403
194,403
195,411
196,412
197,400
198,400
199,402
200,399
201,399
202,400
203,399
204,396
205,393
206,390
207,394
208,399
209,402
210,406
211,409
212,407
213,403
214,404
215,396
216,400
217,405
218,405
219,398
220,389
221,386
222,398
223,403
224,407
225,410
226,411
227,404
228,396
229,393
230,392
231,397
232,396
233,394
234,395
235,394
236,391
237,398
238,399
239,400
240,394
241,389
242,402
243,403
244,404
245,404
246,400
247,411
248,414
249,412
250,416
251,415
252,412
253,414
254,413
255,398
256,403
257,401
258,408
259,410
260,408
261,414
262,416
263,420
264,413
265,415
266,415
267,412
268,410
269,409
270,408
271,406
272,403
273,404
274,404
275,402
276,406
277,399
278,398
279,400
280,394
281,390
282,390
283,390
284,389
285,390
286,386
287,397
288,400
289,402
290,394
291,393
292,391
293,388
294,381
295,379
296,377
297,372
298,367
299,366
300,362
301,359
302,355
303,352
304,352
305,348
306,343
307,339
308,334
309,326
310,322
311,321
312,318
313,314
314,306
315,305
316,297
317,287
318,266
319,262
320,262
321,258
322,252
323,248
324,240
325,164
326,163
327,138
328,135
329,128
330,126
331,115
332,78
333,0
334,0
335,0
336,0
