Position,CL99_TR_1_x_2790_0nt.fa_001
1,0
2,0
3,30
4,30
5,30
6,30
7,30
8,31
9,31
10,31
11,31
12,31
13,31
14,31
15,31
16,32
17,32
18,32
19,32
20,32
21,32
22,33
23,33
24,33
25,33
26,33
27,33
28,33
29,33
30,33
31,33
32,33
33,34
34,34
35,35
36,34
37,34
38,24
39,23
40,23
41,24
42,23
43,24
44,23
45,22
46,22
47,19
48,25
49,25
50,26
51,24
52,24
53,21
54,22
55,24
56,25
57,27
58,29
59,31
60,31
61,31
62,32
63,34
64,34
65,33
66,35
67,36
68,38
69,39
70,39
71,41
72,42
73,42
74,42
75,42
76,43
77,46
78,47
79,47
80,47
81,51
82,52
83,54
84,54
85,56
86,57
87,60
88,60
89,61
90,62
91,63
92,63
93,64
94,64
95,64
96,65
97,65
98,68
99,68
100,68
101,70
102,72
103,72
104,72
105,74
106,77
107,77
108,76
109,78
110,79
111,80
112,83
113,85
114,86
115,86
116,86
117,87
118,88
119,92
120,94
121,96
122,98
123,99
124,99
125,99
126,100
127,100
128,103
129,106
130,106
131,107
132,111
133,112
134,118
135,121
136,125
137,130
138,133
139,134
140,136
141,139
142,139
143,145
144,145
145,144
146,145
147,146
148,146
149,149
150,148
151,149
152,152
153,153
154,153
155,153
156,152
157,149
158,150
159,146
160,145
161,146
162,145
163,145
164,145
165,145
166,146
167,144
168,144
169,144
170,143
171,144
172,145
173,146
174,145
175,144
176,141
177,141
178,140
179,142
180,140
181,140
182,135
183,135
184,136
185,135
186,136
187,136
188,136
189,136
190,136
191,136
192,129
193,129
194,142
195,143
196,143
197,146
198,147
199,148
200,149
201,149
202,147
203,147
204,147
205,144
206,148
207,148
208,149
209,149
210,148
211,147
212,145
213,145
214,145
215,143
216,144
217,141
218,140
219,140
220,140
221,141
222,138
223,137
224,138
225,136
226,136
227,135
228,131
229,125
230,124
231,125
232,123
233,122
234,119
235,117
236,106
237,105
238,106
239,105
240,105
241,100
242,96
243,95
244,92
245,90
246,88
247,88
248,88
249,79
250,79
251,79
252,79
253,81
254,81
255,82
256,81
257,82
258,82
259,81
260,79
261,79
262,79
263,79
264,79
265,77
266,74
267,74
268,73
269,72
270,70
271,68
272,66
273,71
274,72
275,75
