Position,dmel_rDNA_ETS_Other_rDNA.fa_001
1,48
2,49
3,49
4,49
5,50
6,50
7,50
8,51
9,52
10,53
11,55
12,56
13,58
14,58
15,58
16,60
17,60
18,60
19,61
20,62
21,62
22,62
23,62
24,61
25,61
26,61
27,64
28,64
29,64
30,64
31,64
32,63
33,63
34,68
35,69
36,71
37,71
38,71
39,71
40,71
41,69
42,68
43,68
44,66
45,68
46,69
47,69
48,69
49,69
50,69
51,69
52,62
53,62
54,62
55,62
56,62
57,62
58,62
59,62
60,66
61,66
62,66
63,66
64,66
65,67
66,68
67,70
68,69
69,69
70,69
71,68
72,68
73,65
74,65
75,65
76,65
77,69
78,70
79,70
80,70
81,70
82,70
83,70
84,70
85,70
86,71
87,70
88,70
89,69
90,67
91,67
92,67
93,66
94,66
95,66
96,66
97,66
98,66
99,66
100,67
101,66
102,66
103,66
104,66
105,66
106,66
107,66
108,65
109,65
110,66
111,66
112,65
113,65
114,62
115,61
116,60
117,60
118,60
119,59
120,54
121,54
122,54
123,54
124,66
125,66
126,67
127,67
128,68
129,68
130,68
131,69
132,71
133,70
134,69
135,67
136,67
137,67
138,65
139,65
140,64
141,65
142,66
143,67
144,67
145,67
146,67
147,67
148,68
149,70
150,71
151,71
152,71
153,72
154,71
155,72
156,72
157,71
158,69
159,69
160,68
161,67
162,66
163,66
164,66
165,62
166,62
167,62
168,62
169,66
170,66
171,67
172,67
173,67
174,68
175,67
176,68
177,67
178,67
179,68
180,68
181,68
182,68
183,69
184,68
185,68
186,68
187,67
188,66
189,66
190,66
191,66
192,66
193,65
194,66
195,66
196,66
197,66
198,65
199,65
200,65
201,64
202,63
203,62
204,62
205,64
206,64
207,64
208,64
209,63
210,64
211,65
212,65
213,66
214,66
215,66
216,67
217,65
218,64
219,65
220,65
221,64
222,64
223,64
224,63
225,63
226,64
227,64
228,64
229,65
230,65
231,66
232,66
233,67
234,68
235,68
236,69
237,69
238,67
239,67
240,68
241,69
242,70
243,72
244,72
245,71
246,72
247,73
248,74
249,74
250,74
251,73
252,72
253,70
254,72
255,74
256,74
257,74
258,75
259,75
260,73
261,72
262,71
263,72
264,73
265,72
266,72
267,72
268,71
269,68
270,69
271,70
272,70
273,69
274,69
275,69
276,71
277,70
278,70
279,69
280,69
281,69
282,68
283,65
284,65
285,65
286,65
287,65
288,67
289,68
290,68
291,69
292,69
293,68
294,66
295,66
296,66
297,68
298,67
299,68
300,67
301,66
302,66
303,66
304,66
305,65
306,64
307,64
308,64
309,64
310,63
311,64
312,62
313,62
314,62
315,60
316,60
317,60
318,60
319,60
320,60
321,59
322,59
323,58
324,58
325,58
326,58
327,58
328,58
329,57
330,56
331,55
332,55
333,55
334,55
335,51
336,51
337,51
338,51
339,52
340,61
341,61
342,62
343,62
344,63
345,64
346,64
347,65
348,66
349,67
350,67
351,68
352,70
353,70
354,70
355,71
356,71
357,71
358,70
359,70
360,66
361,66
362,66
363,66
364,66
365,65
366,69
367,67
368,67
369,67
370,67
371,66
372,66
373,66
374,66
375,65
376,64
377,60
378,60
379,68
380,68
381,68
382,69
383,69
384,69
385,69
386,68
387,68
388,71
389,71
390,71
391,71
392,70
393,70
394,69
395,69
396,71
397,71
398,70
399,69
400,68
401,68
402,69
403,69
404,67
405,65
406,65
407,64
408,64
409,64
410,63
411,63
412,63
413,63
414,64
415,64
416,63
417,63
418,62
419,62
420,62
421,58
422,58
423,61
424,62
425,63
426,63
427,63
428,63
429,63
430,64
431,64
432,64
433,63
434,63
435,66
436,67
437,66
438,66
439,66
440,66
441,66
442,66
443,67
444,69
445,68
446,68
447,68
448,69
449,69
450,69
451,68
452,67
453,66
454,64
455,67
456,68
457,68
458,68
459,67
460,69
461,69
462,71
463,71
464,72
465,72
466,72
467,72
468,71
469,71
470,71
471,71
472,70
473,69
474,67
475,67
476,72
477,72
478,71
479,71
480,71
481,71
482,72
483,72
484,63
485,65
486,65
487,65
488,66
489,67
490,68
491,69
492,70
493,71
494,71
495,69
496,69
497,68
498,68
499,68
500,68
501,68
502,68
503,68
504,65
505,67
506,67
507,68
508,67
509,69
510,69
511,70
512,69
513,68
514,68
515,65
516,65
517,64
518,64
519,64
520,69
521,66
522,66
523,66
524,67
525,66
526,68
527,69
528,70
529,68
530,70
531,70
532,71
533,71
534,70
535,70
536,70
537,70
538,71
539,71
540,70
541,70
542,70
543,68
544,67
545,67
546,66
547,66
548,66
549,66
550,66
551,66
552,68
553,69
554,69
555,69
556,69
557,67
558,67
559,66
560,68
561,68
562,62
563,62
564,62
565,62
566,62
567,63
568,63
569,62
570,62
571,62
572,64
573,64
574,64
575,57
576,57
577,57
578,58
579,58
580,59
581,60
582,60
583,60
584,60
585,60
586,57
587,56
588,56
589,56
590,55
591,61
592,61
593,62
594,63
595,63
596,62
597,59
598,60
599,60
600,60
601,59
602,59
603,58
604,57
605,57
606,57
607,49
608,49
609,49
610,49
611,49
612,49
613,49
614,49
615,55
616,55
617,55
618,56
619,57
620,57
621,57
622,57
623,57
624,57
625,58
626,58
627,58
628,58
629,58
630,58
631,57
632,56
633,56
634,56
635,56
636,56
637,55
638,55
639,54
640,52
641,52
642,52
643,52
644,52
645,53
646,53
647,54
648,54
649,54
650,53
651,52
652,52
653,52
654,50
655,50
656,50
657,50
658,49
659,49
660,46
661,46
662,46
663,47
664,47
665,47
666,47
667,47
668,47
669,47
670,46
671,46
672,46
673,45
674,44
675,43
676,42
677,41
678,41
679,40
680,40
681,40
682,40
683,40
684,40
685,39
686,38
687,38
688,38
689,38
690,37
691,36
692,36
693,36
694,36
695,36
696,35
697,34
698,33
699,33
700,32
701,31
702,31
703,30
704,30
705,30
706,30
707,30
708,30
709,29
710,26
711,26
712,26
713,26
714,26
715,26
716,26
717,26
718,26
719,26
720,26
721,26
722,26
723,26
724,26
725,26
726,26
727,26
728,25
729,24
730,23
731,21
732,21
733,21
734,21
735,21
736,21
737,21
738,21
739,20
740,19
741,18
742,16
743,16
744,16
745,16
746,16
747,15
748,15
749,15
750,14
751,13
752,13
753,13
754,13
755,10
756,10
757,10
758,10
759,10
760,10
761,10
762,10
763,10
764,10
765,6
766,6
767,6
768,6
769,6
770,6
771,6
772,6
773,6
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
