Position,LC012705_1_Solanum_lycopersicum_DNA__LTR_retrotransposon_CopiaSL_monotypic_Ch12_2s29__complete_sequence.fa_003
1,1
2,2
3,3
4,3
5,3
6,3
7,3
8,3
9,5
10,12
11,12
12,12
13,13
14,14
15,15
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,19
28,19
29,20
30,20
31,20
32,20
33,20
34,21
35,21
36,21
37,22
38,23
39,23
40,23
41,23
42,24
43,24
44,24
45,24
46,24
47,24
48,24
49,23
50,23
51,23
52,25
53,28
54,28
55,28
56,28
57,29
58,29
59,29
60,29
61,29
62,31
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,30
71,29
72,29
73,29
74,30
75,30
76,30
77,30
78,30
79,30
80,31
81,30
82,30
83,30
84,30
85,32
86,32
87,33
88,33
89,33
90,34
91,35
92,35
93,35
94,35
95,35
96,36
97,35
98,34
99,31
100,31
101,30
102,31
103,31
104,32
105,32
106,33
107,33
108,34
109,32
110,32
111,33
112,33
113,31
114,31
115,30
116,29
117,30
118,30
119,30
120,30
121,30
122,30
123,30
124,34
125,35
126,35
127,34
128,33
129,34
130,34
131,35
132,35
133,35
134,35
135,33
136,33
137,33
138,33
139,32
140,32
141,32
142,32
143,32
144,32
145,32
146,33
147,28
148,28
149,28
150,28
151,28
152,28
153,28
154,28
155,28
156,28
157,28
158,27
159,27
160,27
161,25
162,27
163,27
164,27
165,27
166,27
167,27
168,27
169,26
170,26
171,26
172,26
173,26
174,26
175,26
176,26
177,27
178,27
179,27
180,27
181,27
182,25
183,24
184,24
185,20
186,20
187,21
188,21
189,21
190,21
191,21
192,20
193,18
194,19
195,19
196,19
197,20
198,20
199,20
200,20
201,20
202,20
203,21
204,22
205,22
206,21
207,20
208,20
209,20
210,20
211,20
212,20
213,19
214,18
215,18
216,17
217,17
218,17
219,17
220,17
221,17
222,16
223,16
224,16
225,16
226,16
227,14
228,14
229,14
230,14
231,14
232,18
233,17
234,14
235,14
236,15
237,15
238,15
239,15
240,15
241,15
242,15
243,15
244,15
245,15
246,16
247,17
248,17
249,17
250,17
251,18
252,19
253,21
254,21
255,22
256,22
257,22
258,22
259,22
260,22
261,22
262,22
263,22
264,21
265,21
266,21
267,21
268,21
269,21
270,21
271,21
272,21
273,23
274,23
275,25
276,27
277,27
278,27
279,27
280,28
281,30
282,31
283,31
284,31
285,30
286,31
287,32
288,31
289,31
290,32
291,31
292,29
293,30
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,32
302,32
303,32
304,32
305,31
306,31
307,30
308,35
309,35
310,35
311,36
312,36
313,36
314,36
315,36
316,36
317,36
318,36
319,36
320,36
321,36
322,36
323,36
324,36
325,36
326,34
327,34
328,35
329,35
330,35
331,35
332,36
333,36
334,36
335,35
336,35
337,35
338,35
339,34
340,33
341,33
342,33
343,33
344,33
345,33
346,32
347,31
348,31
349,31
350,31
351,29
352,29
353,31
354,32
355,32
356,32
357,32
358,33
359,33
360,33
361,33
362,33
363,33
364,34
365,34
366,34
367,34
368,34
369,36
370,36
371,36
372,35
373,34
374,35
375,32
376,32
377,33
378,32
379,32
380,32
381,33
382,33
383,35
384,36
385,35
386,34
387,35
388,36
389,35
390,36
391,36
392,36
393,36
394,36
395,36
396,36
397,36
398,36
399,36
400,37
401,36
402,36
403,34
404,36
405,36
406,36
407,37
408,38
409,38
410,37
411,38
412,38
413,40
414,41
415,41
416,44
417,44
418,44
419,44
420,45
421,46
422,47
423,47
424,47
425,47
426,47
427,49
428,49
429,49
430,49
431,48
432,48
433,48
434,48
435,48
436,50
437,52
438,54
439,54
440,54
441,55
442,57
443,57
444,56
445,56
446,56
447,57
448,57
449,60
450,60
451,62
452,63
453,63
454,63
455,65
456,66
457,65
458,65
459,66
460,67
461,67
462,67
463,68
464,68
465,69
466,70
467,70
468,69
469,69
470,69
471,71
472,71
473,70
474,69
475,69
476,68
477,69
478,69
479,68
480,67
481,62
482,63
483,62
484,63
485,62
486,61
487,61
488,62
489,63
490,62
491,61
492,60
493,57
494,57
495,57
496,57
497,60
498,61
499,61
500,61
501,60
502,59
503,59
504,60
505,60
506,60
507,60
508,61
509,61
510,61
511,63
512,62
513,60
514,60
515,62
516,61
517,62
518,62
519,62
520,61
521,61
522,60
523,60
524,58
525,63
526,63
527,64
528,64
529,64
530,64
531,64
532,64
533,65
534,66
535,67
536,66
537,64
538,61
539,62
540,61
541,60
542,59
543,62
544,62
545,63
546,62
547,59
548,58
