Position,ENA_ABO36636_ABO36636_1_Solanum_lycopersicum_(tomato)_copia_LTR_rider.fa_008
1,157
2,157
3,164
4,164
5,169
6,169
7,173
8,174
9,174
10,175
11,175
12,175
13,176
14,176
15,178
16,180
17,182
18,183
19,184
20,184
21,184
22,184
23,184
24,185
25,185
26,185
27,185
28,187
29,186
30,186
31,185
32,185
33,185
34,183
35,182
36,182
37,183
38,182
39,180
40,178
41,179
42,179
43,175
44,175
45,175
46,174
47,173
48,175
49,176
50,176
51,178
52,177
53,179
54,179
55,181
56,181
57,182
58,181
59,180
60,178
61,178
62,163
63,165
64,168
65,169
66,168
67,165
68,143
69,143
70,145
71,145
72,145
73,143
74,139
75,133
76,131
77,123
78,115
79,115
80,115
81,110
82,107
83,105
84,103
85,98
86,96
87,94
88,93
89,86
90,75
91,75
92,75
93,75
94,75
95,74
96,74
97,71
98,68
99,66
100,67
101,65
102,65
103,64
104,65
105,65
106,64
107,64
108,65
109,65
110,67
111,66
112,65
113,66
114,66
115,67
116,66
117,67
118,67
119,67
120,69
121,71
122,71
123,72
124,72
125,70
126,71
127,71
128,69
129,68
130,67
131,67
132,68
133,68
134,68
135,69
136,67
137,67
138,67
139,63
140,63
141,63
142,61
143,63
144,64
145,63
146,63
147,61
148,60
149,59
150,58
151,60
152,59
153,58
154,57
155,58
156,57
157,58
158,58
159,57
160,58
161,57
162,57
163,55
164,54
165,54
166,55
167,54
168,54
169,55
170,54
171,54
172,53
173,54
174,56
175,56
176,56
177,57
178,57
179,58
180,60
181,61
182,60
183,59
184,60
185,60
186,60
187,60
188,58
189,57
190,57
191,57
192,60
193,54
194,54
195,54
196,53
197,52
198,52
199,53
200,53
201,54
202,55
203,55
204,56
205,56
206,58
207,58
208,59
209,59
210,59
211,61
212,63
213,65
214,65
215,64
216,63
217,62
218,64
219,64
220,64
221,62
222,62
223,63
224,64
225,64
226,65
227,66
228,67
229,68
230,68
231,68
232,69
233,71
234,73
235,74
236,74
237,75
238,77
239,76
240,74
241,74
242,74
243,78
244,77
245,78
246,77
247,78
248,79
249,82
250,82
251,81
252,82
253,82
254,82
255,80
256,81
257,81
258,83
259,82
260,85
261,86
262,87
263,87
264,90
265,93
266,92
267,95
268,96
269,96
270,97
271,97
272,98
273,98
274,97
275,96
276,94
277,93
278,93
279,93
280,95
281,96
282,98
283,99
284,99
285,102
286,103
287,106
288,108
289,107
290,105
291,105
292,106
293,107
294,107
295,111
296,112
297,113
298,113
299,112
300,112
301,112
302,112
303,113
304,114
305,113
306,111
307,113
308,113
309,112
310,110
311,106
312,106
313,106
314,106
315,104
316,107
317,107
318,107
319,111
320,113
321,114
322,114
323,117
324,117
325,118
326,117
327,117
328,117
329,116
330,118
331,120
332,121
333,121
334,123
335,126
336,126
337,130
338,131
339,133
340,135
341,134
342,133
343,134
344,134
345,139
346,140
347,147
348,147
349,147
350,150
351,153
352,152
353,152
354,148
355,165
356,167
357,179
358,183
359,184
360,188
361,194
362,198
363,198
364,196
365,197
366,202
367,202
368,202
369,202
370,203
371,202
372,203
373,208
374,211
375,211
376,214
377,213
378,213
379,212
380,210
381,206
382,208
383,207
384,205
385,205
386,207
387,207
388,204
389,204
390,204
391,202
392,201
393,200
394,199
395,199
396,199
397,200
398,199
399,199
400,199
401,196
402,196
403,197
404,194
405,193
406,192
407,191
408,192
409,192
410,189
411,189
412,189
413,189
414,189
415,190
416,189
417,186
418,185
419,187
420,187
421,186
422,184
423,184
424,185
425,184
426,184
427,182
428,181
429,179
430,176
431,176
432,177
433,173
434,173
435,169
436,166
437,166
438,163
439,163
440,163
441,162
442,163
443,162
444,161
445,161
446,160
447,154
448,153
449,150
450,147
451,145
452,143
453,135
454,122
455,121
456,117
457,112
458,109
459,109
460,102
461,99
462,100
463,96
464,93
465,90
466,89
467,90
468,87
469,81
470,80
471,79
472,78
473,73
474,75
475,75
476,78
477,79
478,81
479,82
480,85
481,86
482,87
483,88
484,87
485,89
486,89
487,88
488,87
489,88
490,90
491,91
492,90
493,93
494,95
495,95
496,92
497,90
498,88
499,89
500,89
501,90
502,90
503,90
504,89
505,96
506,98
507,98
508,98
509,99
510,99
511,100
512,101
513,100
514,98
515,98
516,97
517,98
518,98
519,98
520,97
521,97
522,95
523,97
524,99
525,101
526,101
527,100
528,102
529,104
530,103
531,105
532,105
533,105
534,106
535,106
536,107
537,107
538,106
539,105
540,104
541,104
542,101
543,101
544,102
545,100
546,100
