Position,ENA_ABO36636_ABO36636_1_Solanum_lycopersicum_(tomato)_copia_LTR_rider.fa_001
1,153
2,154
3,161
4,161
5,161
6,161
7,164
8,165
9,165
10,165
11,167
12,168
13,168
14,169
15,169
16,169
17,170
18,170
19,170
20,170
21,170
22,170
23,170
24,170
25,170
26,171
27,173
28,173
29,172
30,172
31,173
32,173
33,174
34,174
35,174
36,172
37,173
38,174
39,173
40,172
41,172
42,172
43,172
44,170
45,170
46,169
47,170
48,170
49,171
50,172
51,170
52,168
53,168
54,168
55,167
56,167
57,168
58,168
59,167
60,167
61,162
62,140
63,140
64,139
65,138
66,137
67,130
68,101
69,101
70,101
71,101
72,100
73,92
74,86
75,83
76,80
77,76
78,68
79,71
80,71
81,68
82,66
83,63
84,61
85,58
86,57
87,54
88,56
89,56
90,43
91,44
92,44
93,45
94,45
95,45
96,44
97,43
98,40
99,38
100,39
101,39
102,40
103,41
104,40
105,40
106,39
107,40
108,38
109,38
110,38
111,36
112,36
113,37
114,38
115,39
116,39
117,39
118,40
119,40
120,41
121,42
122,42
123,42
124,43
125,42
126,42
127,40
128,40
129,41
130,41
131,41
132,41
133,40
134,40
135,39
136,39
137,37
138,36
139,36
140,35
141,35
142,35
143,34
144,33
145,33
146,33
147,32
148,31
149,30
150,30
151,30
152,30
153,30
154,30
155,28
156,28
157,28
158,28
159,28
160,28
161,29
162,29
163,29
164,29
165,30
166,30
167,30
168,29
169,30
170,30
171,30
172,30
173,30
174,32
175,33
176,33
177,33
178,33
179,34
180,35
181,35
182,35
183,35
184,35
185,35
186,34
187,34
188,34
189,34
190,34
191,33
192,35
193,27
194,26
195,26
196,27
197,27
198,28
199,29
200,29
201,29
202,29
203,26
204,26
205,27
206,27
207,27
208,27
209,27
210,25
211,26
212,28
213,29
214,30
215,27
216,27
217,27
218,28
219,28
220,29
221,28
222,28
223,30
224,30
225,30
226,30
227,30
228,30
229,30
230,30
231,30
232,31
233,31
234,31
235,32
236,32
237,32
238,32
239,32
240,32
241,32
242,32
243,34
244,34
245,34
246,34
247,36
248,37
249,37
250,37
251,38
252,38
253,39
254,39
255,39
256,40
257,40
258,40
259,40
260,41
261,40
262,41
263,42
264,42
265,41
266,41
267,41
268,42
269,41
270,40
271,41
272,41
273,43
274,42
275,41
276,40
277,40
278,39
279,39
280,41
281,42
282,44
283,44
284,43
285,43
286,43
287,42
288,42
289,41
290,40
291,40
292,39
293,39
294,39
295,38
296,37
297,37
298,36
299,36
300,36
301,36
302,36
303,35
304,34
305,34
306,34
307,34
308,33
309,33
310,32
311,32
312,31
313,31
314,30
315,30
316,30
317,31
318,31
319,31
320,31
321,32
322,31
323,31
324,30
325,30
326,31
327,33
328,33
329,32
330,33
331,38
332,39
333,42
334,46
335,50
336,52
337,59
338,60
339,65
340,69
341,73
342,78
343,79
344,79
345,91
346,94
347,101
348,106
349,114
350,120
351,128
352,127
353,127
354,125
355,153
356,154
357,161
358,162
359,164
360,167
361,167
362,165
363,167
364,167
365,167
366,169
367,170
368,172
369,172
370,173
371,172
372,173
373,175
374,174
375,174
376,175
377,176
378,176
379,175
380,175
381,174
382,175
383,175
384,173
385,173
386,173
387,173
388,173
389,173
390,173
391,173
392,173
393,173
394,173
395,173
396,173
397,173
398,173
399,173
400,173
401,173
402,173
403,173
404,173
405,173
406,173
407,173
408,173
409,174
410,174
411,174
412,174
413,174
414,174
415,177
416,177
417,174
418,174
419,174
420,175
421,175
422,175
423,176
424,174
425,175
426,174
427,173
428,172
429,172
430,169
431,167
432,166
433,160
434,158
435,153
436,150
437,144
438,142
439,138
440,135
441,133
442,126
443,124
444,123
445,116
446,112
447,103
448,98
449,91
450,86
451,77
452,70
453,59
454,51
455,51
456,49
457,47
458,46
459,45
460,42
461,41
462,41
463,40
464,42
465,41
466,42
467,41
468,39
469,37
470,37
471,36
472,37
473,36
474,36
475,36
476,35
477,36
478,37
479,36
480,36
481,36
482,37
483,37
484,37
485,38
486,38
487,38
488,39
489,40
490,41
491,43
492,45
493,45
494,47
495,47
496,48
497,49
498,48
499,48
500,50
501,50
