Position,EU195798_2_Solanum_lycopersicum_retrotransposon_Kielia__complete_sequence.fa_004
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,2
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,4
130,4
131,4
132,4
133,4
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,7
142,8
143,8
144,8
145,8
146,8
147,9
148,9
149,9
150,9
151,9
152,10
153,12
154,12
155,12
156,12
157,12
158,12
159,12
160,15
161,17
162,18
163,19
164,19
165,20
166,20
167,21
168,21
169,21
170,23
171,23
172,23
173,23
174,23
175,24
176,23
177,23
178,23
179,23
180,24
181,24
182,24
183,24
184,24
185,23
186,23
187,25
188,25
189,25
190,27
191,27
192,27
193,27
194,27
195,27
196,24
197,24
198,24
199,24
200,24
201,25
202,25
203,25
204,25
205,27
206,26
207,26
208,27
209,26
210,26
211,26
212,28
213,28
214,28
215,28
216,28
217,27
218,27
219,26
220,26
221,25
222,25
223,25
224,27
225,28
226,32
227,31
228,31
229,31
230,31
231,31
232,34
233,34
234,35
235,35
236,33
237,33
238,33
239,33
240,34
241,38
242,37
243,36
244,36
245,35
246,35
247,35
248,35
249,33
250,40
251,40
252,41
253,41
254,41
255,39
256,39
257,41
258,41
259,41
260,41
261,41
262,42
263,42
264,42
265,42
266,42
267,41
268,41
269,41
270,41
271,41
272,41
273,39
274,39
275,39
276,39
277,39
278,39
279,39
280,40
281,40
282,41
283,42
284,41
285,41
286,42
287,43
288,43
289,43
290,41
291,40
292,39
293,38
294,38
295,40
296,40
297,40
298,42
299,42
300,42
301,41
302,41
303,41
304,42
305,42
306,42
307,42
308,42
309,41
310,43
311,43
312,43
313,44
314,44
315,44
316,44
317,46
318,47
319,48
320,47
321,46
322,46
323,45
324,44
325,44
326,39
327,37
328,40
329,42
330,42
331,41
332,40
333,41
334,39
335,40
336,41
337,42
338,42
339,43
340,42
341,41
342,43
343,43
344,43
345,44
346,43
347,43
348,45
349,44
350,44
351,45
352,44
353,43
354,43
355,44
356,44
357,45
358,45
359,47
360,48
361,49
362,49
363,49
364,49
365,49
366,51
367,51
368,51
369,52
370,53
371,53
372,53
373,52
374,52
375,52
376,51
377,51
378,52
379,53
380,54
381,53
382,54
383,55
384,54
385,55
386,56
387,56
388,57
389,57
390,59
391,60
392,60
393,59
394,59
395,61
396,60
397,61
398,63
399,62
400,63
401,63
402,63
403,63
404,54
405,49
406,39
407,36
408,36
409,35
410,35
411,35
412,35
413,35
414,34
415,34
416,34
417,34
418,38
419,47
420,57
421,64
422,71
423,77
424,82
425,87
426,91
427,99
428,106
429,109
430,112
431,112
432,119
433,124
434,125
435,127
436,129
437,132
438,136
439,137
440,140
441,141
442,143
443,146
444,148
445,148
446,150
447,151
448,155
449,157
450,161
451,162
452,162
453,163
454,163
455,164
456,163
457,163
458,163
459,165
460,165
461,165
462,166
463,164
464,164
465,165
466,166
467,166
468,165
469,165
470,167
471,169
472,169
473,168
474,168
475,168
476,168
477,168
478,167
479,169
480,169
481,168
482,168
483,168
484,166
485,165
486,164
487,164
488,162
489,162
490,163
491,162
492,163
493,164
494,164
495,162
496,161
497,160
498,158
499,158
500,158
501,159
502,159
503,159
504,157
505,157
506,157
507,156
508,155
509,154
510,154
511,152
512,151
513,151
514,132
515,132
516,132
517,132
518,134
519,123
520,101
521,101
522,100
523,99
524,98
525,94
526,91
527,83
528,76
529,76
530,71
531,72
532,73
533,69
534,69
535,67
536,65
537,59
538,58
539,57
540,57
541,52
542,45
543,46
544,47
545,48
546,47
547,46
548,46
549,45
550,42
551,39
552,39
553,39
554,40
555,40
556,41
557,40
558,40
559,39
560,38
561,39
562,40
563,41
564,40
565,39
566,38
567,39
568,39
569,37
570,37
571,36
572,36
573,37
574,37
575,36
576,35
577,35
578,36
579,35
580,34
581,33
582,33
583,33
584,33
585,34
586,34
587,34
588,33
589,32
590,31
591,31
