Position,AY678298_1_c29086-23326_Lycopersicon_esculentum_clone_56B23_chromosome_6__gypsy.fa_004
1,0
2,0
3,0
4,0
5,8
6,8
7,8
8,9
9,10
10,10
11,10
12,10
13,10
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
58,9
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,4
260,4
261,4
262,4
263,4
264,3
265,3
266,3
267,3
268,3
