Position,EU195798_2_Solanum_lycopersicum_retrotransposon_Kielia__complete_sequence.fa_007
1,0
2,0
3,1
4,2
5,3
6,6
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,5
48,5
49,4
50,4
51,3
52,3
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,2
122,2
123,2
124,2
125,2
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,5
135,5
136,7
137,7
138,7
139,7
140,7
141,9
142,9
143,9
144,10
145,10
146,12
147,14
148,14
149,14
150,16
151,16
152,18
153,28
154,28
155,28
156,28
157,28
158,28
159,28
160,35
161,35
162,35
163,35
164,45
165,47
166,47
167,51
168,51
169,51
170,51
171,53
172,53
173,53
174,54
175,54
176,55
177,55
178,54
179,52
180,52
181,52
182,52
183,52
184,51
185,50
186,50
187,53
188,54
189,54
190,57
191,56
192,60
193,59
194,59
195,59
196,57
197,57
198,59
199,60
200,61
201,61
202,63
203,63
204,65
205,67
206,65
207,65
208,65
209,65
210,64
211,66
212,69
213,70
214,70
215,71
216,71
217,70
218,70
219,70
220,67
221,65
222,64
223,62
224,61
225,62
226,60
227,60
228,60
229,59
230,62
231,61
232,61
233,60
234,58
235,58
236,56
237,56
238,53
239,52
240,52
241,53
242,52
243,50
244,52
245,52
246,53
247,52
248,52
249,51
250,57
251,58
252,58
253,58
254,58
255,59
256,58
257,61
258,61
259,61
260,61
261,62
262,60
263,62
264,64
265,66
266,66
267,67
268,68
269,68
270,70
