Position,LC012705_1_Solanum_lycopersicum_DNA__LTR_retrotransposon_CopiaSL_monotypic_Ch12_2s29__complete_sequence.fa_002
1,16
2,16
3,16
4,17
5,18
6,18
7,18
8,19
9,20
10,21
11,21
12,21
13,21
14,21
15,21
16,21
17,21
18,22
19,22
20,22
21,22
22,22
23,22
24,23
25,24
26,25
27,26
28,26
29,27
30,28
31,29
32,30
33,30
34,32
35,32
36,36
37,36
38,35
39,38
40,37
41,37
42,39
43,39
44,39
45,39
46,39
47,39
48,38
49,38
50,38
51,38
52,37
53,37
54,37
55,36
56,36
57,35
58,35
59,35
60,35
61,35
62,35
63,33
64,33
65,33
66,33
67,33
68,33
69,33
70,33
71,32
72,32
73,31
74,31
75,31
76,31
77,30
78,30
79,30
80,31
81,31
82,30
83,30
84,30
85,32
86,33
87,33
88,33
89,34
90,34
91,34
92,33
93,33
94,33
95,33
96,34
97,34
98,34
99,35
100,34
101,34
102,35
103,35
104,34
105,34
106,34
107,34
108,33
109,32
110,31
111,31
112,31
113,30
114,30
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,30
124,33
125,31
126,30
127,30
128,29
129,28
130,27
131,27
132,26
133,24
134,24
135,21
136,18
137,18
138,17
139,13
140,13
141,13
142,13
143,14
144,14
145,14
146,14
147,14
148,14
149,14
150,14
151,14
152,14
153,15
154,15
155,15
156,15
157,15
158,15
159,15
160,15
161,15
162,15
163,15
164,15
165,15
166,15
167,15
168,15
169,17
170,17
171,17
172,17
173,17
174,17
175,17
176,17
177,17
178,17
179,17
180,16
181,16
182,15
183,15
184,15
185,13
186,13
187,13
188,13
189,13
190,13
191,13
192,13
193,11
194,11
195,10
196,10
197,10
198,10
199,8
200,8
201,9
202,9
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,6
216,6
217,6
218,7
219,7
220,5
221,5
222,4
223,4
224,4
225,4
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,4
242,4
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,7
269,7
270,7
271,8
272,8
273,8
274,8
275,9
276,9
277,9
278,9
279,9
280,9
281,9
282,9
283,9
284,9
285,9
286,10
287,10
288,11
289,11
290,11
291,10
292,10
293,10
294,11
295,11
296,11
297,12
298,12
299,12
300,12
301,12
302,12
303,12
304,12
305,13
306,13
307,13
308,18
309,18
310,17
311,17
312,17
313,17
314,16
315,16
316,16
317,16
318,16
319,16
320,17
321,17
322,17
323,18
324,18
325,18
326,18
327,18
328,18
329,18
330,18
331,18
332,19
333,19
334,19
335,18
336,18
337,18
338,18
339,18
340,17
341,17
342,17
343,17
344,17
