Position,ENA_ABO36636_ABO36636_1_Solanum_lycopersicum_(tomato)_copia_LTR_rider.fa_002
1,169
2,171
3,174
4,174
5,175
6,175
7,175
8,175
9,178
10,179
11,179
12,180
13,180
14,180
15,182
16,182
17,182
18,182
19,182
20,182
21,182
22,182
23,182
24,182
25,183
26,184
27,185
28,186
29,186
30,186
31,186
32,186
33,184
34,181
35,182
36,181
37,182
38,182
39,181
40,181
41,181
42,181
43,180
44,180
45,181
46,179
47,179
48,179
49,177
50,175
51,175
52,174
53,174
54,174
55,172
56,172
57,171
58,171
59,169
60,168
61,166
62,148
63,148
64,149
65,149
66,148
67,141
68,105
69,105
70,105
71,105
72,105
73,102
74,95
75,92
76,85
77,80
78,66
79,67
80,67
81,65
82,62
83,60
84,59
85,59
86,60
87,57
88,57
89,57
90,47
91,47
92,47
93,48
94,47
95,47
96,41
97,37
98,36
99,35
100,35
101,34
102,35
103,35
104,35
105,35
106,36
107,38
108,39
109,38
110,38
111,40
112,40
113,41
114,41
115,41
116,41
117,41
118,41
119,41
120,41
121,44
122,44
123,45
124,45
125,44
126,43
127,42
128,41
129,44
130,43
131,44
132,44
133,43
134,43
135,42
136,42
137,42
138,42
139,42
140,42
141,42
142,42
143,42
144,42
145,42
146,42
147,41
148,40
149,41
150,41
151,40
152,40
153,40
154,40
155,40
156,39
157,39
158,41
159,41
160,40
161,39
162,39
163,39
164,38
165,39
166,39
167,38
168,39
169,38
170,38
171,38
172,38
173,39
174,40
175,40
176,39
177,38
178,39
179,39
180,40
181,40
182,40
183,39
184,38
185,37
186,38
187,38
188,39
189,38
190,38
191,39
192,37
193,31
194,33
195,31
196,31
197,31
198,31
199,32
200,33
201,34
202,33
203,33
204,35
205,35
206,36
207,37
208,37
209,37
210,35
211,35
212,36
213,36
214,37
215,36
216,36
217,36
218,37
219,36
220,36
221,36
222,36
223,38
224,39
225,38
226,38
227,38
228,39
229,39
230,39
231,39
232,39
233,39
234,39
235,42
236,42
237,43
238,43
239,44
240,44
241,44
242,44
243,44
244,44
245,45
246,45
247,44
248,44
249,44
250,45
251,46
252,46
253,46
254,46
255,46
256,47
257,47
258,47
259,48
260,48
261,48
262,49
263,50
264,50
265,49
266,48
267,49
268,48
269,48
270,48
271,49
272,48
273,48
274,49
275,49
276,49
277,49
278,48
279,47
