Position,ENA_ABO36636_ABO36636_1_Solanum_lycopersicum_(tomato)_copia_LTR_rider.fa_004
1,139
2,139
3,147
4,147
5,147
6,147
7,148
8,148
9,148
10,149
11,149
12,150
13,151
14,152
15,152
16,152
17,152
18,154
19,156
20,156
21,156
22,156
23,156
24,158
25,158
26,158
27,159
28,160
29,160
30,160
31,160
32,158
33,157
34,157
35,157
36,156
37,156
38,157
39,156
40,156
41,157
42,157
43,155
44,154
45,153
46,151
47,151
48,151
49,152
50,152
51,152
52,150
53,150
54,150
55,149
56,148
57,147
58,147
59,145
60,144
61,144
62,125
63,125
64,125
65,125
66,126
67,115
68,93
69,93
70,92
71,91
72,90
73,87
74,84
75,76
76,69
77,69
78,64
79,65
80,66
81,62
82,62
83,60
84,58
85,52
86,51
87,51
88,51
89,46
90,39
91,40
92,41
93,42
94,42
95,41
96,41
97,40
98,36
99,35
100,35
101,34
102,35
103,35
104,36
105,35
106,35
107,34
108,33
109,34
110,34
111,34
112,33
113,32
114,31
115,32
116,32
117,30
118,30
119,29
120,29
121,30
122,30
123,29
124,28
125,28
126,29
127,28
128,27
129,26
130,26
131,26
132,26
133,27
134,27
135,27
136,26
137,25
138,24
139,24
140,24
141,23
142,24
143,24
144,24
145,24
146,25
147,25
148,24
149,24
150,24
151,24
152,24
153,24
154,24
155,24
156,24
157,24
158,24
159,24
160,24
161,23
162,23
163,23
164,23
165,23
166,22
167,22
168,22
169,22
170,22
171,22
172,22
173,22
174,21
175,21
176,19
177,19
178,19
179,19
180,19
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,17
189,17
190,16
191,15
192,14
193,11
194,10
195,9
196,7
197,5
198,5
199,6
200,6
201,6
202,7
203,7
204,7
205,7
206,7
207,7
208,6
209,6
210,5
211,6
212,7
213,7
214,7
215,7
216,7
217,5
218,6
219,6
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,9
243,10
244,10
245,10
246,10
247,10
248,10
249,9
250,9
251,10
252,10
253,10
254,10
255,10
256,10
257,11
258,11
259,11
260,11
261,12
262,13
263,15
264,15
265,15
266,15
267,15
268,15
269,15
270,15
271,15
272,15
273,15
274,15
275,16
276,16
277,16
278,16
279,16
280,18
281,18
282,18
283,20
284,20
285,20
286,21
287,22
288,22
289,24
290,25
291,26
292,26
293,27
294,29
295,29
296,29
297,30
298,29
299,29
300,30
301,30
302,30
303,30
304,31
305,31
306,32
307,32
308,32
309,32
310,32
311,31
312,31
313,31
314,31
315,31
316,31
317,32
318,31
319,33
320,32
321,32
322,32
323,33
324,36
325,37
326,37
327,38
328,38
329,38
330,41
331,54
332,54
333,57
334,62
335,69
336,71
337,78
338,81
339,87
340,91
341,95
342,102
343,102
344,103
345,109
346,117
347,124
348,128
349,130
350,134
351,135
352,134
