Position,ENA_ABO36636_ABO36636_1_Solanum_lycopersicum_(tomato)_copia_LTR_rider.fa_005
1,277
2,278
3,279
4,283
5,283
6,284
7,288
8,289
9,289
10,289
11,290
12,292
13,293
14,293
15,293
16,293
17,293
18,294
19,296
20,297
21,298
22,299
23,299
24,301
25,302
26,302
27,303
28,304
29,305
30,305
31,305
32,308
33,310
34,311
35,311
36,310
37,311
38,312
39,312
40,314
41,315
42,314
43,308
44,305
45,306
46,302
47,303
48,303
49,303
50,303
51,300
52,296
53,297
54,297
55,298
56,298
57,295
58,295
59,294
60,293
61,292
62,251
63,251
64,251
65,252
66,252
67,240
68,198
69,198
70,200
71,199
72,201
73,196
74,180
75,173
76,165
77,159
78,142
79,144
80,143
81,141
82,136
83,133
84,129
85,120
86,116
87,113
88,113
89,106
90,86
91,87
92,87
93,88
94,86
95,85
96,79
97,73
98,66
99,56
100,56
101,58
102,58
103,59
104,60
105,60
106,59
107,56
108,57
109,58
110,58
111,58
112,57
113,56
114,56
115,56
116,57
117,55
118,55
119,54
120,53
121,53
122,54
123,53
124,53
125,52
126,52
127,51
128,50
129,52
130,51
131,51
132,50
133,49
134,48
135,47
136,46
137,46
138,45
139,44
140,45
141,44
142,44
143,43
144,43
145,43
146,43
147,42
148,43
149,43
150,44
151,45
152,44
153,43
154,43
155,42
156,42
157,42
158,42
159,42
160,41
161,41
162,43
163,43
164,42
165,41
166,41
167,40
168,40
169,40
170,39
171,39
172,37
173,39
174,39
175,39
176,39
177,38
178,37
179,37
180,38
181,38
182,37
183,36
184,34
185,33
186,34
187,34
188,34
189,34
190,33
191,33
192,33
193,30
194,30
195,30
196,30
197,30
198,30
199,30
200,30
201,29
202,29
203,28
204,27
205,26
206,25
207,25
208,25
209,26
210,25
211,25
212,25
213,25
214,26
215,26
216,26
217,27
218,26
219,27
220,27
221,26
222,26
223,27
224,28
225,28
226,28
227,30
228,29
229,29
230,29
231,28
232,27
233,27
234,27
235,27
236,27
237,27
238,26
239,25
240,25
241,25
242,25
243,25
244,25
245,26
246,26
247,27
248,27
249,27
250,26
251,26
252,27
253,27
254,27
255,26
256,26
257,26
258,25
259,25
260,27
261,27
262,27
263,27
264,28
265,28
266,29
267,29
268,29
269,30
270,30
271,31
272,30
273,30
274,32
275,32
276,33
277,33
278,33
279,33
280,32
281,33
282,33
283,34
284,34
285,33
286,33
287,33
288,33
289,34
290,35
291,35
292,34
293,33
294,33
295,34
296,35
297,36
298,37
299,37
300,37
301,36
302,37
303,38
304,39
305,39
306,38
307,38
308,38
309,37
310,37
311,37
312,37
313,37
314,37
315,37
316,37
317,41
318,41
319,42
320,43
321,43
322,43
323,46
324,50
325,54
326,54
327,59
328,61
329,61
330,65
331,81
332,87
333,96
334,104
335,112
336,112
337,125
338,134
339,147
340,157
341,163
342,166
343,164
344,168
345,185
346,196
347,209
348,221
349,227
350,231
351,241
352,238
353,238
354,237
355,267
356,270
357,279
358,281
359,283
360,284
361,287
362,290
363,292
364,293
365,300
366,302
367,304
368,304
369,304
370,308
371,307
372,307
373,309
374,311
375,311
376,309
377,310
378,310
379,309
380,309
381,310
382,310
383,310
384,311
385,311
386,311
387,311
388,310
389,310
390,309
391,308
392,306
393,306
394,306
395,306
396,306
397,305
398,303
399,303
400,303
401,304
402,302
403,301
404,301
405,300
406,299
407,300
408,300
409,300
410,300
411,300
412,300
413,302
414,302
415,303
416,301
417,296
418,293
419,294
420,291
421,292
422,292
423,289
424,285
425,284
426,285
427,282
428,280
429,276
430,271
431,264
432,260
433,250
434,243
435,236
436,231
437,222
438,211
439,199
440,190
441,180
442,179
443,172
444,166
445,158
446,151
447,139
448,128
449,121
450,114
451,105
452,98
453,87
454,76
455,74
456,72
457,71
458,69
459,69
460,69
461,65
462,64
463,63
464,57
465,53
466,52
467,51
468,50
469,46
470,43
471,42
472,41
473,38
474,38
475,38
476,38
477,37
478,37
479,38
480,38
481,37
482,37
483,38
484,37
485,37
486,38
487,40
488,40
489,40
490,41
491,41
492,42
493,42
494,43
495,44
496,44
497,44
498,44
499,44
500,44
501,43
502,43
503,43
504,43
505,47
506,48
507,49
508,50
509,51
510,50
511,50
512,51
513,50
514,50
515,49
516,50
517,43
518,44
519,45
520,45
521,44
522,42
523,43
524,43
525,43
526,42
527,42
528,45
529,46
530,44
531,44
532,42
533,42
534,44
535,43
536,43
537,43
538,43
539,44
540,44
541,43
542,43
543,43
544,42
545,41
546,41
547,41
548,42
549,42
550,43
551,43
552,43
553,43
554,44
555,40
556,39
557,39
558,40
559,40
560,40
561,40
562,40
563,40
564,40
565,42
566,42
567,42
568,42
569,42
570,42
571,42
572,42
573,42
574,42
575,42
576,41
577,41
578,41
579,40
580,40
581,40
582,41
583,42
584,43
585,43
586,42
587,42
588,42
589,43
590,43
591,43
592,45
593,45
594,45
595,44
596,46
597,48
598,47
599,49
600,49
601,46
602,45
603,45
604,43
605,43
606,46
607,47
608,46
609,44
610,40
611,41
612,40
613,41
614,52
615,53
616,52
617,51
618,54
619,53
620,52
621,52
622,53
623,56
624,57
625,57
626,55
627,55
628,55
629,55
630,54
631,58
632,59
633,59
634,59
635,61
636,60
637,63
638,63
639,63
640,64
641,63
642,65
643,66
644,67
645,67
646,67
647,68
648,69
649,70
650,72
651,76
652,78
653,78
654,79
655,80
656,85
657,86
658,84
659,86
660,86
661,87
662,90
663,94
664,95
665,99
666,101
667,102
668,105
669,106
670,107
671,107
672,106
673,107
674,108
675,110
676,111
677,111
678,113
679,111
680,113
681,115
682,118
683,120
684,120
685,119
686,118
687,120
688,120
689,122
690,123
691,125
692,123
693,126
694,126
695,127
696,126
697,127
698,129
699,131
700,131
701,131
702,134
703,135
704,137
705,139
706,139
707,139
708,144
709,148
710,147
711,148
712,148
713,151
714,152
715,151
716,150
717,151
718,150
719,149
720,150
721,151
722,148
723,148
724,149
725,147
726,147
727,147
728,147
729,148
730,149
731,148
732,147
733,147
734,147
735,145
736,148
737,146
738,146
739,146
740,145
741,144
742,143
743,141
744,141
745,141
746,140
747,137
