Position,LC012705_1_Solanum_lycopersicum_DNA__LTR_retrotransposon_CopiaSL_monotypic_Ch12_2s29__complete_sequence.fa_005
1,7
2,8
3,9
4,9
5,9
6,10
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,13
16,13
17,14
18,15
19,15
20,15
21,16
22,17
23,17
24,19
25,20
26,20
27,22
28,25
29,25
30,28
31,30
32,30
33,30
34,34
35,34
36,38
37,39
38,39
39,42
40,42
41,43
42,47
43,47
44,47
45,47
46,47
47,47
48,47
49,47
50,47
51,47
52,48
53,49
54,49
55,49
56,49
57,49
58,50
59,50
60,50
61,49
62,50
63,50
64,50
65,49
66,49
67,49
68,51
69,51
70,50
71,50
72,50
73,49
74,49
75,49
76,49
77,49
78,50
79,50
80,51
81,52
82,52
83,52
84,52
85,56
86,56
87,56
88,57
89,58
90,58
91,58
92,59
93,59
94,60
95,61
96,61
97,61
98,62
99,62
100,62
101,62
102,62
103,62
104,62
105,61
106,60
107,59
108,59
109,59
110,59
111,59
112,59
113,58
114,58
115,56
116,56
117,55
118,55
119,53
120,53
121,53
122,53
123,52
124,54
125,53
126,52
127,48
128,47
129,44
130,45
131,45
132,44
133,42
134,41
135,38
136,38
137,38
138,36
139,31
140,31
141,31
142,31
143,31
144,31
145,31
146,31
147,32
148,32
149,32
150,32
151,32
152,32
153,32
154,34
155,34
156,35
157,36
158,36
159,35
160,35
161,33
162,34
163,34
164,34
165,34
166,34
167,34
168,34
169,31
170,31
171,31
172,31
173,31
174,32
175,32
176,31
177,32
178,32
179,31
180,31
181,31
182,31
183,28
184,28
185,24
186,25
187,25
188,26
189,26
190,26
191,26
192,26
193,25
194,25
195,24
196,23
197,25
198,24
199,22
200,21
201,21
202,20
203,20
204,20
205,20
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,20
216,20
217,20
218,20
219,20
220,20
221,20
222,20
223,20
224,20
225,20
226,20
227,20
228,20
229,20
230,20
231,11
232,15
233,15
234,15
235,15
236,15
237,15
238,16
239,15
240,15
241,15
242,15
243,15
244,15
245,15
246,17
247,17
248,17
249,17
250,17
251,18
252,21
253,21
254,20
255,20
256,19
257,19
258,19
259,19
260,19
261,19
262,19
263,19
264,19
265,19
266,19
267,19
268,19
269,18
270,19
271,19
272,19
273,19
274,18
275,18
276,16
277,16
278,16
279,16
280,16
281,18
282,18
283,18
284,19
285,18
286,20
287,21
288,19
289,20
290,20
291,21
292,21
293,21
294,22
295,23
296,23
297,24
298,24
299,24
300,24
301,25
302,23
303,23
304,23
305,24
306,24
307,23
308,24
309,23
310,23
311,23
312,23
313,23
314,23
315,24
316,24
317,24
318,24
319,24
320,24
321,26
322,26
323,26
324,27
325,27
326,26
327,26
328,26
329,26
330,26
331,26
332,26
333,26
334,26
335,25
336,24
337,24
338,24
339,24
340,24
341,24
342,24
343,24
344,23
345,22
346,21
347,22
348,23
349,23
350,23
351,23
352,22
353,24
354,24
355,24
356,24
357,24
358,25
359,25
360,25
361,25
362,27
363,27
364,27
365,27
366,28
367,28
368,30
369,29
370,30
371,30
372,30
373,30
374,30
375,30
376,30
377,29
378,29
379,29
380,29
381,29
382,30
383,29
384,29
385,28
386,25
387,26
388,27
389,28
390,28
391,27
392,28
393,29
394,28
395,27
396,27
397,27
398,27
399,28
400,29
401,29
402,29
403,27
404,28
405,28
406,28
407,28
408,29
409,29
410,29
411,29
412,30
413,30
414,31
415,32
416,33
417,33
418,33
419,33
420,33
421,33
422,33
423,32
424,32
425,32
426,33
427,33
428,35
429,36
430,37
431,39
432,39
433,41
434,41
435,41
436,41
437,43
438,43
439,43
440,44
441,44
442,44
443,43
444,44
445,43
446,45
447,46
448,46
449,47
450,46
451,46
452,46
453,48
454,49
455,49
456,50
457,49
458,48
459,49
460,50
461,50
462,49
463,48
464,48
465,48
466,50
467,51
468,50
469,50
470,49
471,50
472,50
473,50
474,50
475,51
476,52
477,53
478,53
479,53
480,53
481,52
482,51
483,51
484,51
485,51
486,56
487,58
488,59
489,58
490,57
491,56
492,54
493,52
494,52
495,52
496,52
497,53
498,55
499,55
500,56
501,57
502,57
503,57
504,58
505,57
506,58
507,59
508,60
509,59
510,59
511,63
512,64
513,64
514,62
515,61
516,61
517,62
518,64
519,65
520,65
521,66
522,66
523,66
524,63
525,64
526,65
527,66
528,67
529,66
530,65
531,63
532,63
533,62
534,61
535,61
536,62
537,62
538,64
539,63
540,64
541,65
542,65
543,64
544,63
545,63
546,60
547,59
548,57
549,58
550,59
551,59
552,59
553,59
554,58
555,57
556,57
557,56
558,57
