Position,LC012705_1_Solanum_lycopersicum_DNA__LTR_retrotransposon_CopiaSL_monotypic_Ch12_2s29__complete_sequence.fa_008
1,19
2,21
3,23
4,24
5,24
6,24
7,25
8,25
9,26
10,37
11,37
12,37
13,37
14,39
15,40
16,41
17,41
18,42
19,42
20,42
21,42
22,42
23,42
24,45
25,45
26,45
27,48
28,49
29,49
30,47
31,49
32,50
33,50
34,49
35,49
36,49
37,50
38,50
39,52
40,54
41,54
42,55
43,55
44,55
45,53
46,54
47,55
48,54
49,53
50,53
51,53
52,54
53,53
54,52
55,52
56,52
57,52
58,53
59,52
60,51
61,52
62,52
63,50
64,50
65,50
66,50
67,49
68,50
69,50
70,50
71,50
72,49
73,48
74,49
75,48
76,48
77,47
78,48
79,48
80,49
81,49
82,48
83,48
84,47
85,49
86,49
87,49
88,48
89,49
90,50
91,51
92,50
93,52
94,53
95,52
96,53
97,52
98,51
99,49
100,49
101,48
102,48
103,50
104,50
105,50
106,49
107,50
108,50
109,50
110,50
111,49
112,49
113,47
114,47
115,46
116,47
117,48
118,48
119,48
120,48
121,46
122,45
123,44
124,47
125,47
126,47
127,46
128,47
129,46
130,45
131,44
132,44
133,44
134,44
135,44
136,43
137,41
138,41
139,38
140,38
141,38
142,38
143,38
144,37
145,35
146,35
147,36
148,37
149,37
150,36
151,36
152,36
153,37
154,37
155,38
156,38
157,38
158,37
159,37
160,39
161,37
162,38
163,38
164,37
165,37
166,37
167,40
168,39
169,38
170,38
171,38
172,39
173,39
174,40
175,40
176,39
177,39
178,39
179,39
180,39
181,37
182,37
183,37
184,36
185,31
186,31
187,33
188,33
189,34
190,36
191,36
192,35
193,33
194,34
195,34
196,35
197,35
198,37
199,36
200,37
201,38
202,39
203,40
204,41
205,42
206,43
207,42
208,42
209,42
210,42
211,42
212,42
213,42
214,41
215,40
216,42
217,44
218,43
219,43
220,43
221,43
222,44
223,44
224,44
225,44
226,43
227,42
228,44
229,45
230,45
231,45
232,54
233,54
234,49
235,48
236,48
237,49
238,50
239,50
240,51
241,51
242,51
243,56
244,57
245,57
246,58
247,59
248,61
249,61
250,61
251,64
252,65
253,67
254,67
255,67
256,67
257,67
258,66
259,66
260,65
261,65
262,64
263,63
264,62
265,63
266,63
267,63
268,63
269,65
270,65
271,65
272,66
273,67
274,67
275,67
276,67
277,68
278,68
279,69
280,68
281,69
282,70
283,69
284,73
285,75
286,75
287,75
288,75
289,71
290,71
291,71
292,71
293,71
294,73
295,74
296,73
297,72
298,67
299,69
300,70
301,70
302,70
303,70
304,69
305,71
306,68
307,68
308,74
309,76
310,76
311,76
312,76
313,75
314,74
315,71
316,72
317,72
318,72
319,72
320,71
321,70
322,70
323,71
324,73
325,73
326,73
327,72
328,70
329,70
330,70
331,72
332,70
333,71
334,70
335,69
336,70
337,71
338,70
339,70
340,65
341,69
342,70
343,70
344,72
345,72
346,72
347,71
348,71
349,69
350,69
351,67
352,67
353,70
354,72
355,73
356,73
357,73
358,74
359,74
360,76
361,77
362,78
363,79
364,82
365,81
366,81
367,80
368,80
369,78
370,78
371,78
372,79
373,78
374,78
375,79
376,78
377,80
378,79
379,79
380,79
381,80
382,80
383,83
384,84
385,81
386,81
387,83
388,84
389,84
390,84
391,84
392,83
393,83
394,84
395,86
396,88
397,87
398,87
399,88
400,89
401,86
402,85
403,82
404,93
405,95
406,95
407,94
408,94
409,94
410,94
411,94
412,99
413,103
414,101
415,101
416,104
417,106
418,106
419,108
420,107
421,107
422,107
423,106
424,107
425,107
426,108
427,112
428,111
429,113
430,114
431,116
432,116
433,113
434,113
435,113
436,112
437,113
438,113
439,112
440,113
441,114
442,113
443,112
444,112
445,110
446,115
447,118
448,119
449,119
450,119
451,119
452,118
453,117
454,118
455,116
456,116
457,114
458,114
459,115
460,112
461,112
462,112
463,116
464,118
465,118
466,118
467,121
468,122
469,121
470,121
471,123
472,122
473,122
474,123
475,122
476,119
477,117
478,117
479,116
480,117
481,114
482,114
483,114
484,112
485,113
486,113
487,113
488,115
489,115
490,116
491,114
492,111
493,107
494,107
495,107
496,106
497,111
498,113
499,113
500,113
501,107
502,106
503,104
504,101
505,101
506,101
507,102
508,103
509,102
510,98
511,106
512,101
513,102
514,101
515,105
516,105
517,108
518,108
519,107
520,108
521,107
522,105
523,102
524,98
525,102
526,104
527,105
528,109
529,108
530,107
531,107
532,107
533,108
534,107
535,105
536,104
537,104
538,103
539,102
540,99
541,99
542,101
543,101
544,98
545,98
546,94
547,94
548,94
549,94
550,95
551,95
552,93
553,94
554,94
555,92
556,92
557,94
558,93
559,95
560,95
561,95
562,94
563,92
564,92
565,92
566,91
567,91
568,89
569,89
570,88
571,88
572,89
573,88
574,86
575,83
576,83
577,84
578,88
579,88
580,86
581,86
582,85
583,84
584,86
585,86
586,87
587,82
588,81
589,81
590,81
591,80
592,80
593,78
594,73
595,73
596,73
597,74
598,74
599,75
600,75
601,75
602,74
603,74
604,73
605,69
606,64
607,64
608,64
609,64
610,64
611,59
612,64
613,66
614,68
615,68
616,70
617,69
618,69
619,69
620,68
621,67
622,65
623,65
624,64
625,64
626,64
627,64
628,62
629,66
630,66
631,64
632,64
633,64
634,64
635,64
636,60
637,60
638,60
639,61
640,61
641,61
642,61
643,60
644,60
645,60
646,60
647,59
648,58
649,59
650,57
651,56
652,56
653,56
654,56
655,56
656,54
657,53
658,55
659,56
660,56
661,54
662,53
663,53
664,51
665,52
666,52
667,52
668,53
669,52
670,50
671,51
672,51
673,51
674,49
675,49
676,47
677,49
678,48
679,48
680,48
681,48
682,48
683,49
684,46
685,48
686,48
687,49
688,48
689,46
690,46
691,46
692,46
693,46
694,48
695,49
696,49
697,50
698,48
699,50
700,51
701,52
702,52
703,54
704,55
705,55
706,54
707,56
708,56
709,57
710,58
711,58
712,57
713,53
714,52
715,46
716,46
717,46
718,57
719,59
720,61
721,61
722,63
723,63
724,63
725,63
726,63
727,63
728,61
729,62
730,62
731,63
732,63
733,64
734,66
735,66
736,67
737,66
738,66
739,66
740,66
741,66
742,71
743,72
744,74
745,76
746,76
747,77
748,77
749,77
750,80
751,84
752,83
753,89
754,91
755,91
756,91
757,90
758,90
759,91
760,90
761,92
762,92
763,92
764,94
765,96
766,106
767,107
768,114
769,112
770,114
771,115
772,116
