Position,EU195798_2_Solanum_lycopersicum_retrotransposon_Kielia__complete_sequence.fa_001
1,1
2,1
3,1
4,2
5,3
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,12
49,11
50,11
51,11
52,11
53,11
54,8
55,6
56,5
57,5
58,5
59,5
60,4
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,3
98,3
99,3
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,3
109,3
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,6
135,6
136,7
137,7
138,8
139,8
140,8
141,15
142,16
143,16
144,16
145,16
146,16
147,18
148,17
149,17
150,18
151,18
152,19
153,23
154,23
155,23
156,23
157,23
158,23
159,24
160,28
161,28
162,29
163,29
164,34
165,45
166,45
167,45
168,46
169,46
170,46
171,46
172,46
173,45
174,45
175,48
176,49
177,49
178,48
179,48
180,48
181,48
182,48
183,48
184,48
185,44
186,44
187,56
188,56
189,56
190,60
191,61
192,61
193,61
194,59
195,60
196,59
197,62
198,64
199,64
200,65
201,64
202,64
203,65
204,65
205,64
206,62
207,64
208,64
209,64
210,64
211,67
212,67
213,70
214,69
215,69
216,70
217,72
218,71
219,71
220,70
221,70
222,69
223,70
224,71
225,73
226,71
227,70
228,74
229,74
230,74
231,73
232,75
233,76
234,77
235,77
236,77
237,78
238,81
239,83
240,85
241,85
242,86
243,85
244,85
245,86
246,86
247,86
248,85
249,84
250,89
251,90
252,92
253,94
254,96
255,96
256,97
257,98
258,98
259,97
260,96
261,95
262,96
263,96
264,103
265,103
266,107
267,109
268,109
269,109
270,111
271,111
272,111
273,111
274,111
275,110
276,108
277,104
278,107
279,107
280,108
281,108
282,108
283,107
284,108
285,107
286,107
287,106
288,105
289,107
290,107
291,105
292,104
293,104
294,106
295,106
296,107
297,106
298,106
299,105
300,105
301,104
302,105
303,105
304,105
305,106
306,106
307,103
308,104
309,104
310,105
311,105
312,104
313,104
314,104
315,105
316,104
317,101
318,101
319,102
320,102
321,103
322,103
323,104
324,105
325,103
326,101
327,94
328,105
329,105
330,109
331,111
332,112
333,109
334,107
335,108
336,109
337,103
338,101
339,103
340,103
341,102
342,105
343,104
344,103
345,102
346,101
347,102
348,111
349,112
350,110
351,111
352,110
353,106
354,104
355,99
356,98
357,103
358,105
359,107
360,107
361,105
362,107
363,105
364,104
365,99
366,103
367,103
368,102
369,102
370,103
371,103
372,103
373,103
374,102
375,101
376,101
377,98
378,98
379,97
380,96
381,95
382,96
383,96
384,95
385,95
386,93
387,92
388,90
389,90
390,90
391,90
392,91
393,88
394,88
395,89
396,88
397,87
398,88
399,87
400,93
401,92
402,90
403,90
404,49
405,44
406,38
407,39
408,37
409,35
410,35
411,35
412,35
413,36
414,37
415,35
416,35
417,36
418,41
419,52
420,60
421,66
422,72
423,81
424,94
425,99
426,105
427,112
428,116
429,119
430,121
431,122
432,126
433,130
434,133
435,137
436,141
437,144
438,145
439,147
440,151
441,151
442,152
443,157
444,159
445,163
446,165
447,167
448,167
449,170
450,173
451,174
452,174
453,174
454,174
455,176
456,176
457,176
458,175
459,179
460,180
461,179
462,179
463,181
464,182
465,181
466,181
467,181
468,181
469,182
470,183
471,183
472,183
473,183
474,183
475,183
476,184
477,184
478,186
479,189
480,189
481,188
482,187
483,188
484,188
485,188
486,188
487,188
488,187
489,189
490,191
491,190
492,189
493,189
494,189
495,189
496,187
497,186
498,185
499,186
500,186
501,187
502,189
503,187
504,186
505,186
506,186
507,185
508,184
509,185
510,185
511,184
512,184
513,178
514,156
515,156
516,155
517,154
518,155
519,148
520,119
521,119
522,118
523,118
524,117
525,109
526,104
527,101
528,98
529,94
530,86
531,90
532,90
533,87
534,85
535,82
536,79
537,76
538,74
539,70
540,72
541,72
542,59
543,60
544,60
545,61
546,61
547,61
548,60
549,59
550,56
551,54
552,55
553,55
554,56
555,56
556,55
557,54
558,53
559,53
560,51
561,50
562,50
563,48
564,48
565,49
566,50
567,51
568,51
569,51
570,52
571,52
572,54
573,55
574,55
575,55
576,56
577,55
578,55
579,52
580,51
581,52
582,52
583,52
584,52
585,50
586,50
587,49
588,48
589,45
590,44
591,44
