Position,EU195798_2_Solanum_lycopersicum_retrotransposon_Kielia__complete_sequence.fa_008
1,0
2,0
3,0
4,2
5,8
6,27
7,27
8,27
9,27
10,27
11,28
12,28
13,28
14,28
15,28
16,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
25,28
26,28
27,28
28,28
29,28
30,28
31,28
32,28
33,28
34,28
35,27
36,27
37,26
38,25
39,23
40,23
41,19
42,19
43,17
44,17
45,17
46,16
47,16
48,16
49,15
50,15
51,13
52,12
53,11
54,11
55,9
56,7
57,7
58,7
59,7
60,6
61,3
62,3
63,3
64,3
65,3
66,2
67,2
68,1
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,3
142,3
143,3
144,3
145,3
146,19
147,19
148,20
149,20
150,20
151,20
152,20
153,20
154,20
155,20
156,20
157,20
158,20
159,20
160,45
161,45
162,45
163,46
164,60
165,71
166,72
167,82
168,86
169,87
170,88
171,88
172,89
173,90
174,92
175,90
176,90
177,91
178,91
179,90
180,92
181,99
182,99
183,101
184,101
185,101
186,101
187,108
188,108
189,111
190,111
191,115
192,116
193,114
194,114
195,119
196,119
197,122
198,122
199,123
200,119
201,121
202,121
203,122
204,122
205,124
206,124
207,127
208,131
209,131
210,129
211,130
212,128
213,129
214,127
215,128
216,129
217,128
218,125
219,125
220,124
221,121
222,121
223,121
224,120
225,123
226,119
227,120
228,122
229,120
230,121
231,123
232,122
233,123
234,121
235,119
236,119
237,119
238,114
239,113
240,112
241,112
242,109
243,109
244,110
245,112
246,112
247,111
248,110
249,107
250,114
251,116
252,117
253,117
254,118
255,119
256,118
257,124
258,128
259,127
260,128
261,132
262,132
263,128
264,131
265,133
266,133
267,133
268,131
269,129
270,134
